analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
073778ia03bh34a,MGI:105383,Il18r1,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.4117648
073e382r7c7xd5m,MGI:1921735,Lrrc71,C57BL,Early adult,JAX_OFD_050_001,Percentage center movement time,0.845315
0747vht20q2p02a,MGI:107363,Stxbp1,C57BL,E9.5,IMPC_CSD_007_001,Coat - color - abdomen,0.8087706
07486sg57q2g88a,MGI:1914454,Eif2s2,C57BL,Early adult,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.4390814
074c04mnawg160a,MGI:1309469,Casq2,C57BL,E15.5,IMPC_CBC_010_001,Phosphorus,0.6057513
0752vvc4kcv351a,MGI:1922423,Tex38,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.7258464
0752z0i6t2e03ix,MGI:1913761,Chtop,C57BL,Early adult,MGP_MLN_015_001,Naive CD8+ T cells - % of CD8+,0.0529714
075s8yvc3t8n7tx,MGI:2385213,Pdik1l,C57BL,Late adult,ESLIM_015_001_011,Iron,0.4683818
07689f1i652bn1m,MGI:1350930,Srp9,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.8579555
076f05296k85ala,MGI:1921263,Rftn2,C57BL,Early adult,IMPC_XRY_057_001,Kyphosis,0.3223051
076k1wlm51586ba,MGI:3576049,Ugt1a2,C57BL,Early adult,IMPC_EYE_063_001,Right inner nuclear layer,0.4940689
0776n2j5nr1o9jx,MGI:1201673,Shox2,C50BL,E12.5,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.09771712
078q5n56png8x0a,MGI:2444824,Sirpb1a,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.135488
0795g7i652qeydm,MGI:107674,Cd1d1,C57BL,Early adult,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.8013516
079e3wj41fqfw5a,MGI:1309469,Casq2,C57BL,E12.5,IMPC_GEL_011_001,Embryo turning,0.9776704
079wh8tav077m7x,MGI:88015,Ampd1,C57BL,E15.5,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.6604419
07cqp1q3i6k701m,MGI:1278321,Epc2,C57BL,Early adult,MGP_IMM_108_001,Marginal zone B cells - % of CD45+,0.6509706
07d6addk635079m,MGI:1922828,Fggy,C57BL,Early adult,IMPC_XRY_006_001,Scapulae,0.5052725
07g7ee269889hqx,MGI:1919128,Fam83d,C57BL,Early adult,IMPC_CBC_003_001,Chloride,0.7223276
07gd0kd6233474x,MGI:1337072,Ier5,C57BL,Late adult,ESLIM_008_001_016,Trunk curl,0.5455338
07gqa9r89qz267a,MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.4726685
07h2s3493183g2m,MGI:3045320,Mgat4f,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.09760414
07jj6grn0da587x,MGI:3588216,Ube2u,C57BL,Early adult,JAX_LDT_002_001,Light side time spent,0.7405956
07nj8z7r81p6xex,MGI:104516,Slc23a3,C57BL,Early adult,IMPC_EYE_065_001,Right posterior chamber depth,0.9605218
07qey3z1bkwhpxm,MGI:2444824,Sirpb1a,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.8837661
07s9vgm4906675m,MGI:1349164,Sdc4,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.6957086
07u3f43r4wxmjta,MGI:1095412,Unc5c,C57BL,Middle aged adult,IMPC_CBC_010_001,Phosphorus,0.06121722
07ub33903j8215a,MGI:104708,Cct3,C57BL,E9.5,IMPC_CSD_023_001,Vibrissae - presence,0.7877606
07w4051nh0x3aea,MGI:97803,Ptma,C57BL,E15.5,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.9940189
07z2txj4tab59aa,MGI:2679420,Pak6,C57BL,Early adult,IMPC_EYE_062_001,Right total retinal thickness,0.6163224
080ck2b0z14gi6a,MGI:1201673,Shox2,C57BL,E9.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.7267413
080pk8838f04o7a,MGI:2140050,Ints3,C57BL,E9.5,HMGULA_DYS_016_001,Coat - hair texture / appearance - abdomen,0.4278983
080vp2b940a4rtx,MGI:99218,Cdh4,C57BL,Early adult,IMPC_CBC_008_001,Total bilirubin,0.9658038
080z634t614r3sx,MGI:1096385,Bcan,C57BL,Middle aged adult,IMPC_XRY_015_001,Number of lumbar vertebrae,0.5412016
081e7312xmd60nm,MGI:1915247,Ddx59,C57BL,E9.5,MGP_MLN_072_001,KLRG1+ Treg cells - % of CD45+,0.9334905
081h2353ax6kw4m,MGI:1915247,Ddx59,C57BL,E9.5,HRWL_OWT_001_001,Spleen weight,0.4161443
082329f91i2575x,MGI:2679260,Crb2,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.343523
08235i547c481lm,MGI:1351315,Eloa,C57BL,Early adult,IMPC_GEP_005_002,Responsive to tactile stimuli,0.4580237
083efzr059b4k6a,MGI:1913761,Chtop,C57BL,Early adult,IMPC_XRY_060_001,Transitional vertebrae,0.5750767
08441gk7s9bmwjm,MGI:1096385,Bcan,C57BL,Early adult,IMPC_DXA_007_001,BMC/Body weight,0.3121377
085rbnha354iu3m,MGI:97565,Pgm1,C57BL,E12.5,CCP_LFO_001_001,Weight,0.9265876
0861urmowsjt0vx,MGI:2139018,Olah,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.8235727
0868n25ok998e1a,MGI:88525,Cryge,C57BL,Early adult,IMPC_CBC_001_001,Sodium,0.2056472
086g16lplt382nm,MGI:1915862,Ube2c,C57BL,Early adult,IMPC_ECG_028_001,QT,0.9666203
087g0x71tpuw3ia,MGI:3650206,Gm12695,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.6426002
087hj61l5w7u2mm,MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_GEP_034_001,Skin Appearance,0.1353233
088053ims840p3a,MGI:2685195,Zbtb34,C57BL,E9.5,CCP_LDT_003_001,Time mobile light side,0.3447588
088l9q34ar856im,MGI:2384297,Map7d1,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.4528551
08940prc69n90lm,MGI:1098604,Rragd,C57BL,Early adult,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.214033
089834g693n7snm,MGI:1925835,Jade1,C57BL,Early adult,IMPC_EYE_062_001,Right total retinal thickness,0.9749023
08ag3mh7x8y001m,MGI:1927753,Inpp5e,C57BL,E15.5,MGP_IMM_009_001,Total Treg cells - % of CD4+,0.926252
08b46ijf7ua941x,MGI:1914454,Eif2s2,C57BL,E9.5,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.07227868
08bxxb251j98uea,MGI:1890510,Atp6v0b,C57BL,Early adult,UCDIP_CSD_014_001,Coat - hair texture / appearance - back,0.1878189
08ck7ev3117163x,MGI:2443564,Ambra1,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.8852809
08d5q4c8641r17m,MGI:2443925,Thsd7b,C57BL,Early adult,M-G-P_016_001_002,Red Blood Cell-count,0.6092145
08dbjk6t5m3x95m,MGI:2385213,Pdik1l,C59BL,Middle aged adult,UCD_OWT_003_001,Spleen weight,0.1923292
08e3d725v5u301x,MGI:1931071,Sec61a2,C57BL,Early adult,IMPC_ECG_028_001,QT,0.3854255
08ek5p06w0upw2m,MGI:1351315,Eloa,C57BL,E9.5,CCP_XRY_020_001,Processes on vertebrae,0.9696425
08f11d4cdw9eiem,MGI:102844,Mybpc3,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.7633074
08hu634amg4p16m,MGI:1339755,Csf3r,C57BL,Early adult,IMPC_CSD_040_002,Forepaw - size,0.07827212
08igxmzrs878e5x,MGI:2443925,Thsd7b,C57BL,Early adult,IMPC_EYE_008_001,Corneal opacity,0.674995
08j876c7sjp3ljx,MGI:1346086,Aplnr,C57BL,Early adult,MGP_MLN_014_001,Resting CD8+ T cells - % of CD8+,0.3072632
08kk1p1bmu2860m,MGI:109424,Abca4,C57BL,Early adult,IMPC_CBC_012_001,Aspartate aminotransferase,0.4194655
08kxvel1t0849qx,MGI:1339968,Cth,C57BL,Early adult,IMPC_XRY_012_001,Pelvis,0.1726491
08u90dex56p4w9a,MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.5246922
08uzu02u8474kqm,MGI:1927753,Inpp5e,C57BL,Early adult,MGP_MLN_003_001,Total CD4+ T cells - % of ab T cells,0.05752027
08w0vc04s31x96x,MGI:1350930,Srp9,C57BL,E12.5,JAX_OFD_021_001,Number of rears - total,0.5059387
08yb1o2cc62g2nx,MGI:1924265,Mpped2,C57BL,Early adult,IMPC_ECH_018_001,Respiration Rate,0.9974112
0901wl617qkx93m,MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_EYE_087_001,Right vitreous humor thickness,0.7621781
0915657j69xd0im,MGI:2444631,Bltp1,C57BL,E15.5,IMPC_GEP_022_001,Embryo Size,0.9924669
09161096g9643qm,MGI:1098604,Rragd,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.673351
09224w645t92q0a,MGI:1924232,Vxn,C57BL,Early adult,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.8840702
0929814d2nte80m,MGI:1915643,Mogat1,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.845233
093yqd237y653ga,MGI:1278321,Epc2,C57BL,Early adult,IMPC_CSD_036_001,Startle response,0.5931636
0940k7x9cd0h2mx,MGI:2676312,Abca12,C57BL,Early adult,IMPC_CSD_028_001,Snout size,0.2030563
0958h4153iyh8dm,MGI:87879,Aco1,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.05876604
0970c14h32zc7zx,MGI:1918142,Ttll7,C57BL,Early adult,IMPC_GEL_058_001,Heart morphology,0.2557134
09792375e3397vm,MGI:99218,Cdh4,C57BL,Early adult,MGP_IMM_079_001,KLRG1+ Treg cells - % of CD45+,0.07763008
098e18valwgcw8m,MGI:104559,Rcn1,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.7701634
098l5d63wil8w3x,MGI:1914199,Trim59,C57BL,E18.5,IMPC_CBC_002_001,Potassium,0.9871648
09d0c8fyl1sl5bm,MGI:1339755,Csf3r,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.3457996
09d4d0hw355q9xa,MGI:98960,Wnt6,C57BL,E12.5,IMPC_HEM_003_001,Hemoglobin,0.796572
09e1be2j2o03elx,MGI:2444508,Fitm2,C57BL,E12.5,IMPC_HEM_019_001,Mean platelet volume,0.1453793
09f1ren40713hbx,MGI:1913761,Chtop,C57BL,Early adult,IMPC_HEM_004_001,Hematocrit,0.5800781
09fm0600ge4075x,MGI:1350930,Srp9,C57BL,E12.5,MGP_IMM_124_001,Monocytes - % of CD45+,0.1312832
09g227isy89j89m,MGI:1916428,Snx5,129SV,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.7474255
09g2q4g07j0ql5a,MGI:109424,Abca4,C57BL,Early adult,IMPC_GEO_065_001,Limb morphology,0.7525361
09ia7nahdf211jm,MGI:97850,Raly,C57BL,Early adult,IMPC_GEL_011_001,Embryo turning,0.3762628
09ki6i3a4z2l9cm,MGI:2444989,Spg11,C58BL,Early adult,IMPC_CBC_020_001,Fructosamine,0.5559933
09l24l283nn4y4m,MGI:2442704,Frrs1l,C57BL,Early adult,ESLIM_015_001_011,Iron,0.1231638
09n00195640a7kx,MGI:1913761,Chtop,C57BL,Early adult,IMPC_ECG_003_001,CV,0.5038811
09n07yg45fh212x,MGI:1917770,Glipr2,C57BL,Early adult,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.09105765
09u578h7b5xrx7a,MGI:1921722,Stpg3,C57BL,Early adult,IMPC_GEL_060_001,Neural tube morphology,0.224469
09u8g8qj68058qa,MGI:109424,Abca4,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.6640131
0a1i9w13nyz319x,MGI:2676312,Abca12,C57BL,E18.5,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.6667997
0a6e4nl4nref8lm,MGI:108429,Lpar1,C57BL,E12.5,IMPC_EYE_017_001,Lens Opacity,0.4455169
0a8hr265t94uuqa,MGI:2676312,Abca12,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.3047644
0a9mwqcyk0suvfm,MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.8335299
0ac1oo7l58ve2am,MGI:2441837,Adgrb3,C57BL,Early adult,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.3667238
0aew56p8o89jdbx,MGI:2139018,Olah,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.1260296
0ahf91845dw88vx,MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.2030792
0am5ydxb39r4jwa,MGI:1339968,Cth,C57BL,Early adult,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.4021878
0as07i59mu32x8x,MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_EYE_063_001,Right inner nuclear layer,0.4334905
0auecc5l5d0o96x,MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_XRY_016_001,Number of pelvic vertebrae,0.05597686
0aw7cp439e783xm,MGI:2444391,Slc25a44,C57BL,Early adult,MGP_MLN_115_001,Plasmacytoid DC - % of CD45+,0.8937422
0b0pr35s1518vdm,MGI:108429,Lpar1,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.1241576
0b1762s9nwcsjhx,MGI:2443100,Bend7,C57BL,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,0.6052987
0b18318xh52p67m,MGI:1860511,Heyl,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.2169853
0b996u260xerbea,MGI:2444631,Bltp1,C57BL,Early adult,IMPC_OWT_002_001,Spleen weight,0.9691668
0b9gcwwqokwmdqx,MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_CAL_017_001,Respiratory Exchange Ratio,0.5811802
0c06c3l3582t7la,MGI:106925,Cldn11,C57BL,Early adult,IMPC_GEM_075_001,Delayed embryonic development,0.7536286
0c21ut6uqdf267x,MGI:2681832,Cspp1,C57BL,Early adult,IMPC_GEM_068_001,Forebrain morphology,0.7450418
0c27n8k042bx9sm,MGI:1914454,Eif2s2,C57BL,E9.5,IMPC_EYE_003_001,Eye Hemorrhage or Blood Presence,0.3837551
0c4333u26p084hm,MGI:1350930,Srp9,C57BL,Early adult,IMPC_GEO_063_001,Craniofacial morphology,0.2213484
0c48wyf1h6i5ujx,MGI:97383,Ntrk1,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.7727775
0c6560nugg1498a,MGI:1913746,Ppdpf,C57BL,Early adult,IMPC_OFD_022_001,Percentage center time,0.9218185
0c66t7x52ihbxgx,MGI:3611450,Mettl21c,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.311152
0c6ey4ib4bkucbm,MGI:3649135,Gm7694,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.3789638
0c917u0xm94i5sx,MGI:1913692,Spc25,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.852854
0cf4k5apu02ldim,MGI:1350930,Srp9,C57BL,E12.5,IMPC_OFD_022_001,Percentage center time,0.7218467
0chr0u6087rjg0a,MGI:1916987,Ttl,C57BL,E15.5,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.7724963
0ci95bvppw5gk6a,MGI:1337072,Ier5,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.08598411
0cj05s4933b07wa,MGI:2384297,Map7d1,C57BL,E9.5,IMPC_CSD_007_001,Coat - color - abdomen,0.7430174
0ck2z4872m9t7fx,MGI:106637,Slc30a2,C57BL,Early adult,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.1556801
0cn36325vpb3f5a,MGI:2444631,Bltp1,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.4669386
0cnfk9121s3y1nx,MGI:1922776,Eppin,C57BL,Early adult,IMPC_EYE_082_001,Iris transilumination,0.5866552
0d73715w89ywhba,MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_XRY_063_001,Cervical processes,0.9457618
0dewn153h4rk6im,MGI:1341898,Nmur1,C57BL,Early adult,UCD_OWT_029_001,Body length,0.8377971
0dh5z3577087q0m,MGI:3611233,Tox2,C57BL,Early adult,ESLIM_011_001_002,PP1 startle magnitude,0.4955616
0dj36mf7lw3w39m,MGI:1914210,Mindy3,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.4117288
0do4s7je4av98ga,MGI:109424,Abca4,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.6324648
0do6z0025eufk6a,MGI:108429,Lpar1,C57BL,E18.5,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.1050325
0dz41j6w8x4sg4a,MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_XRY_016_001,Number of pelvic vertebrae,0.510115
0e1p24n02a64g1a,MGI:2384297,Map7d1,C57BL,E18.5,JAX_OFD_050_001,Percentage center movement time,0.2767293
0e2lh1thtdoc14a,MGI:97565,Pgm1,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.3621869
0e41d108z6209zm,MGI:1339755,Csf3r,C57BL,Early adult,IMPC_CSD_037_001,Unexpected behaviors,0.3865084
0e4f56707q5ycoa,MGI:1914542,Pigc,C57BL,Early adult,IMPC_CBC_010_001,Phosphorus,0.5591416
0e568pjeh74x34x,MGI:1922776,Eppin,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.09784774
0e7143fiwx5z5mx,MGI:2677271,Slc24a5,C57BL,Early adult,IMPC_CBC_018_001,Glucose,0.4778005
0e7wb9zw25mg65m,MGI:88015,Ampd1,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.4891701
0e8a88a927rksra,MGI:101770,Bfsp1,C57BL,Early adult,IMPC_CSD_005_001,Coat - color - back,0.5600961
0e8y4x023wvbbka,MGI:1350926,Etv3,C57BL,Early adult,IMPC_OFD_018_001,Latency to center entry,0.5293036
0eb43gmm8x9965x,MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_GEP_026_001,Outer ear morpholgy,0.2604124
0ew0z906rb42nem,MGI:98960,Wnt6,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.6060393
0f190uvu7dvu3dx,MGI:1341898,Nmur1,C57BL,Early adult,MGP_IMM_016_001,Naive CD8+ T cells - % of CD8+,0.9678771
0f1a4j52jm791va,MGI:1916732,Nup35,C57BL,Early adult,ESLIM_011_001_004,PP3 startle magnitude,0.3779803
0f3h2d0gtmd405x,MGI:2140712,Phf24,C57BL,Early adult,JAX_OFD_013_001,Periphery average speed,0.9860035
0f4mm0z3z18213m,MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.9667705
0f5z298lp5af9mx,MGI:1919084,Zbtb43,C57BL,Early adult,IMPC_CBC_058_001,Cholesterol ratio,0.6818071
0f617g5fj2pnfxa,MGI:2443805,Bnc2,C57BL,Early adult,JAX_OFD_050_001,Percentage center movement time,0.2224677
0f62m88o7sbbvpm,MGI:97565,Pgm1,C57BL,Early adult,UCD_OWT_005_001,Right kidney,0.6698516
0f6783cv3934j8a,MGI:1914199,Trim59,C57BL,Early adult,ESLIM_011_001_001,BN startle magnitude,0.2812017
0ffv4e138zd5ypa,MGI:96429,Ifi204,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.3431865
0fgi9647a51gn3m,MGI:1924467,Rspo4,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.7157993
0fi777h463gh37m,MGI:1916413,Mrpl44,C57BL,E9.5,MGP_IMM_044_001,Marginal zone B cells - % of B2 cells,0.5288001
0fk7wkrcmyb440m,MGI:106637,Slc30a2,C57BL,E9.5,IMPC_EYE_092_002,Retina (combined),0.3273048
0fq82960mwf924a,MGI:1922776,Eppin,C57BL,Middle aged adult,IMPC_GEM_075_001,Delayed embryonic development,0.9593613
0fs178nm5vp3jom,MGI:95975,Ifi44l,C57BL,Early adult,IMPC_HEM_029_001,Neutrophil differential count,0.8353743
0fsw4nvw89xiq9x,MGI:1919471,Cimip1,C57BL,Early adult,IMPC_CSD_033_001,Gait,0.9523809
0ft475std7397aa,MGI:98397,Src,129SV,Early adult,ESLIM_008_001_002,Tremor,0.8496141
0fvf125i531760m,MGI:98397,Src,C57BL,Early adult,IMPC_GEL_058_001,Heart morphology,0.611915
0fx941j2g3r07fm,MGI:2444508,Fitm2,C57BL,E15.5,IMPC_CBC_014_001,Alkaline phosphatase,0.9487664
0fz4944doy9o4tx,MGI:1332243,Ugcg,C57BL,Early adult,IMPC_HEM_003_001,Hemoglobin,0.1671918
0g7pw4r52r58v7a,MGI:2387617,Obp2a,C57BL,Early adult,CCP_XRY_031_001,Digit integrity,0.3352307
0g8u1448b5200na,MGI:2444631,Bltp1,C57BL,Early adult,ESLIM_008_001_002,Tremor,0.2062661
0g97y2uml163ypm,MGI:1919051,Plekhf2,C57BL,Early adult,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.1057974
0g98063poe5686a,MGI:1309469,Casq2,C57BL,E12.5,JAX_OFD_012_001,Periphery permanence time,0.7178259
0g9mwldf9g10b5m,MGI:1915862,Ube2c,C57BL,E12.5,IMPC_GEL_060_001,Neural tube morphology,0.9918857
0ga4w75f1310zka,MGI:95281,Ect2,C57BL,Early adult,JAX_LDT_008_001,Percent time in dark,0.9273454
0gagjq57rl23oyx,MGI:2139018,Olah,C57BL,Early adult,ESLIM_008_001_016,Trunk curl,0.9875992
0gb910k3qu2sl2a,MGI:106637,Slc30a2,C57BL,Early adult,ESLIM_016_001_004,Haematocrit,0.259157
0h101605w9mw8rm,MGI:102844,Mybpc3,C57BL,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.1184961
0h1j4vi8294np4a,MGI:1913692,Spc25,C57BL,Early adult,IMPC_EYE_016_001,Lens,0.3871983
0h38f13v78nmg7x,MGI:98397,Src,129SV,Early adult,IMPC_ECG_010_001,HRV,0.7450059
0h5034rmj1fi65m,MGI:106925,Cldn11,C59BL,Middle aged adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.7419745
0h66y05j6z36j9a,MGI:108429,Lpar1,C57BL,E18.5,MGP_IMM_073_001,Effector CD4+ T helper cells - % of CD45+,0.4278506
0h68bc79iflzb3a,MGI:104708,Cct3,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.3955902
0hdd375278pmlhm,MGI:2385213,Pdik1l,C57BL,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.2557633
0hf9149f6i1v19x,MGI:1095412,Unc5c,C57BL,Middle aged adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.6710721
0hi37h84jp370ia,MGI:98960,Wnt6,C57BL,E12.5,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.2978616
0hzz62q31897raa,MGI:98386,Sptan1,C57BL,Early adult,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.1091708
0i144t573h6gi8a,MGI:1914454,Eif2s2,C57BL,E9.5,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.3668637
0i4fgxiv8w05v5x,MGI:2441837,Adgrb3,C57BL,E18.5,IMPC_DXA_009_001,Fat/Body weight,0.7551811
0i6xck18w8vd70x,MGI:1350930,Srp9,C57BL,E12.5,IMPC_OFD_007_001,Whole arena resting time,0.6399405
0i79947z586y8fx,MGI:1343489,Mpdz,C57BL,Early adult,IMPC_XRY_063_001,Cervical processes,0.3324252
0i82345e63468ia,MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CBC_018_001,Glucose,0.922648
0i8hiw232k638xx,MGI:1201673,Shox2,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.2986692
0i9f7o2t189v34x,MGI:1919369,Tpx2,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.5318481
0ibae4g7ac82l8m,MGI:1927241,Wdr12,C57BL,Early adult,JAX_OFD_016_001,Center permanence time,0.5617518
0iesz56q414259x,MGI:3617846,Ankrd34a,C57BL,Early adult,ESLIM_021_001_002,Total cholesterol,0.8602855
0igc20qf1h59d1a,MGI:104708,Cct3,C57BL,E9.5,IMPC_XRY_012_001,Pelvis,0.09934878
0inm49bti646k8x,MGI:106637,Slc30a2,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.4041358
0iu92n4ps78370m,MGI:1915862,Ube2c,C57BL,E12.5,CCP_XRY_019_001,Fusion of vertebrae,0.4911326
0iur14ljeg56wcm,MGI:95777,Gnas,129SV,Early adult,IMPC_CBC_024_001,UIBC (unsaturated iron binding capacity),0.09774378
0j0g1244009i84a,MGI:97565,Pgm1,C57BL,E12.5,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.6961656
0j0klx97z605x6m,MGI:2442704,Frrs1l,C57BL,Early adult,JAX_SLW_003_001,Sleep light phase percent,0.5872398
0j1q46lr3rehi5m,MGI:1914199,Trim59,C57BL,E18.5,IMPC_EYE_083_001,Vitreous,0.9568879
0j2865258885j6x,MGI:1914199,Trim59,C57BL,E18.5,IMPC_CBC_020_001,Fructosamine,0.4953155
0j41xo34jgn01kx,MGI:1914199,Trim59,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.2776148
0j55tkl3ft1zj1m,MGI:1913882,Dph6,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.9618179
0j82z772yw7pd8a,MGI:1915599,Ndufs3,C57BL,Early adult,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.5873653
0jq7n557ozap58x,MGI:1919369,Tpx2,C57BL,E9.5,M-G-P_025_001_005,Potassium,0.07177372
0jsm2pa3193u87m,MGI:1916987,Ttl,C57BL,E15.5,M-G-P_025_001_001,Glucose,0.9058117
0jz37t250h4fw3x,MGI:1916987,Ttl,C57BL,E15.5,IMPC_EYE_017_001,Lens Opacity,0.9511337
0jz74ji78ve1x6a,MGI:1914199,Trim59,C57BL,E12.5,M-G-P_026_001_010,Mouth morphology,0.7612675
0k0ysba2r6t15gm,MGI:109424,Abca4,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.3165534
0k323dfd4weh2ha,MGI:95975,Ifi44l,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.4429591
0k3bz94q4q5hsua,MGI:3041190,Skint7,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.7745736
0k4p107f128hi4m,MGI:1919369,Tpx2,C57BL,Early adult,IMPC_XRY_033_001,Tibia length,0.4360342
0k5d2ez03ivg8ca,MGI:1918142,Ttll7,C57BL,Early adult,M-G-P_016_001_002,Red Blood Cell-count,0.2040687
0k6dn9q74k008ja,MGI:1916330,Gmppa,C57BL,Early adult,CCP_LDT_008_001,Percent time in light,0.6198329
0k6qnf07ny93jta,MGI:106925,Cldn11,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.5005762
0k82uur466eme4a,MGI:2443564,Ambra1,C57BL,E12.5,M-G-P_025_001_005,Potassium,0.6403495
0kt5dr0h5s4584x,MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.5272446
