"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"353puo354v217ra","MGI:98960","Wnt6","C57BL","Early adult","IMPC_EYE_056_001","0.2118982","Mean left eye lens density"
"354byppw9ozs9zx","MGI:2444508","Fitm2","C57BL","E15.5","IMPC_EYE_063_001","0.948254","Right inner nuclear layer"
"354ps7434w84nra","MGI:1347355","Slc7a11","C57BL","Early adult","IMPC_ECG_014_001","0.5558914","rMSSD"
"35500069579866x","MGI:1927753","Inpp5e","C57BL","E15.5","MGP_IMM_086_001","0.4882713","CD5+ gd T cells - % of CD45+"
"355kk211nfsk08x","MGI:101813","Coq3","C57BL","E9.5","IMPC_DXA_002_001","0.335012","Fat mass"
"355l627za5ib6zx","MGI:1341898","Nmur1","C57BL","Early adult","IMPC_CSD_028_001","0.2487337","Snout size"
"3570to74r8e51ja","MGI:3576049","Ugt1a2","C57BL","Early adult","IMPC_CSD_005_001","0.7513981","Coat - color - back"
"357x0uiu8w341da","MGI:2139461","Tmem62","C57BL","Early adult","IMPC_HEM_019_001","0.7461326","Mean platelet volume"
"35998g02gbmsirx","MGI:2385213","Pdik1l","C57BL","Late adult","MGP_MLN_075_001","0.8182022","Resting CD8+ T cells - % of CD45+"
"35b4eo795j7e9ea","MGI:2443564","Ambra1","C57BL","E15.5","JAX_LDT_009_001","0.07660678","Percent time in light"
"35eco54v523x7yx","MGI:1913882","Dph6","C57BL","Early adult","IMPC_OFD_009_001","0.9859018","Whole arena average speed"
"35ff0tjs120ep5a","MGI:1278321","Epc2","C57BL","Early adult","IMPC_CSD_026_001","0.5046668","Head morphology"
"35hkl7aql3o1cha","MGI:1923073","Fam227b","C57BL","Early adult","MGP_IMM_013_001","0.2053633","Total CD8+ T cells - % of ab T cells"
"35m8l45qngebbta","MGI:2677271","Slc24a5","C57BL","Early adult","ESLIM_020_001_004","0.4267626","Visual abnormality"
"35nzd05g11z7b1a","MGI:1341907","Fjx1","C57BL","Early adult","IMPC_CSD_038_001","0.133003","Trunk curl"
"35on5f13ytyqsba","MGI:1913423","Ccdc107","C57BL","Early adult","IMPC_CSD_025_001","0.2440597","Head size"
"35p76lk8s75p7vx","MGI:2443925","Thsd7b","C57BL","Early adult","IMPC_CSD_033_001","0.91654","Gait"
"35v88qe8w3965ua","MGI:2138198","D630023F18Rik","C57BL","Early adult","MGP_MLN_075_001","0.9630227","Resting CD8+ T cells - % of CD45+"
"3610smt5n575oga","MGI:1922776","Eppin","C57BL","Late adult","IMPC_OFD_009_001","0.5956635","Whole arena average speed"
"36162p7keq151ja","MGI:1890510","Atp6v0b","C57BL","Early adult","KMPCLA_GRS_010_001","0.8570931","Forelimb grip strength normalised against body weight"
"361kcwxqd1m47cx","MGI:1915862","Ube2c","C57BL","E12.5","CCP_XRY_018_001","0.7558217","Shape of vertebrae"
"3629x94y15950xx","MGI:1339968","Cth","C57BL","Early adult","IMPC_CAL_017_001","0.7151296","Respiratory Exchange Ratio"
"363cfn07v7zk3xx","MGI:2443805","Bnc2","C57BL","Early adult","JAX_SLW_013_001","0.2257042","Breath rate during sleep mean"
"363fx3t61q5umtx","MGI:1889549","Txnip","C57BL","Early adult","ESLIM_005_001_004","0.4271272","Bone Mineral Density (excluding skull)"
"365369u697vp03a","MGI:1343489","Mpdz","C57BL","Early adult","IMPC_EYE_063_001","0.8881033","Right inner nuclear layer"
"36733y0wb99d3sa","MGI:1921735","Lrrc71","C57BL","Early adult","MGP_IMM_013_001","0.6703962","Total CD8+ T cells - % of ab T cells"
"367jz8h9w6eg66a","MGI:1916987","Ttl","C57BL","Early adult","IMPC_IMM_040_002","0.9649021","Effector CD4+ NKT cells - % of live leukocytes (Panel A)"
"368r69s4fgjm09x","MGI:1201673","Shox2","C57BL","E15.5","IMPC_HEM_006_001","0.2878898","Mean corpuscular hemoglobin"
"368w8o3iks0a55a","MGI:1915599","Ndufs3","C57BL","Early adult","IMPC_ECG_003_001","0.19985","CV"
"36ak8ner7810p3x","MGI:1914210","Mindy3","C57BL","Early adult","IMPC_OFD_016_001","0.7671215","Center permanence time"
"36c1l2n3z97016a","MGI:106925","Cldn11","C57BL","Middle aged adult","UCDLA_CSD_011_001","0.7407132","Coat - hair distribution - back"
"36k305x51t13s3a","MGI:104708","Cct3","C57BL","E9.5","M-G-P_016_001_002","0.3862224","Red Blood Cell-count"
"36l90009420hcza","MGI:97565","Pgm1","C57BL","E9.5","ESLIM_013_001_004","0.6177358","Left retina pigmentation"
"36msdq7k21t40pa","MGI:2444508","Fitm2","C57BL","E12.5","IMPC_EYE_082_001","0.2180443","Iris transilumination"
"36p854f3kz0u7hx","MGI:107363","Stxbp1","C57BL","E9.5","ESLIM_021_001_002","0.5269447","Total cholesterol"
"36pwye1a6v8081a","MGI:2677271","Slc24a5","C57BL","Early adult","IMPC_CBC_015_001","0.4963245","Total cholesterol"
"36qd77l1721j2ea","MGI:1924265","Mpped2","C57BL","Early adult","JAX_OFD_014_001","0.4938055","Center distance travelled"
"36u5na0acwkbeax","MGI:1922387","Rprd2","C57BL","E9.5","MGP_MLN_114_001","0.532286","Total DC - % of CD45+"
"37085si23t79j3x","MGI:1922946","Prpf6","C57BL","Early adult","IMPC_FEA_105_001","0.3359073","Difference in Context and Conditioning Baseline % Freezing"
"3722x9417d9yvbx","MGI:1350930","Srp9","C57BL","E9.5","IMPC_XRY_027_001","0.6728575","Joints"
"37236s5kpw24lda","MGI:97803","Ptma","C57BL","Early adult","HMGULA_DYS_014_001","0.4959238","Coat - hair texture / appearance - back"
"3723k6d2vymwyox","MGI:1922828","Fggy","C57BL","Early adult","JAX_OFD_020_001","0.1376087","Distance travelled - total"
"37341t7010lgy3a","MGI:1095412","Unc5c","C57BL","Middle aged adult","CCP_LDT_003_001","0.1329295","Time mobile light side"
"374p08xf9o4qkyx","MGI:1922776","Eppin","C57BL","Late adult","MGP_IMM_073_001","0.1122705","Effector CD4+ T helper cells - % of CD45+"
"374ywci82o4s2wa","MGI:3588216","Ube2u","C57BL","Early adult","UCDLA_CSD_012_001","0.331199","Coat - hair distribution - head"
"37531b3sl3z246x","MGI:3611450","Mettl21c","C57BL","Early adult","IMPC_CBC_009_001","0.1588482","Calcium"
"3754gb9544veb0a","MGI:1919084","Zbtb43","C57BL","Early adult","IMPC_IPG_012_001","0.6386722","Area under glucose response curve"
"37628x6m678p35a","MGI:97565","Pgm1","C57BL","E9.5","IMPC_ECH_018_001","0.462255","Respiration Rate"
"376533wtbp8t7qa","MGI:1889549","Txnip","C57BL","Early adult","M-G-P_025_001_002","0.7301932","Urea"
"376c7r8e6cu2gxa","MGI:2444508","Fitm2","C57BL","E12.5","UCDLA_CSD_012_001","0.8321879","Coat - hair distribution - head"
"376qca1n279276x","MGI:97565","Pgm1","C57BL","E12.5","IMPC_GEO_019_001","0.9923746","Embryo Size"
"378wv5i131ds2mx","MGI:1859866","Cdc20","C57BL","E9.5","IMPC_GEL_060_001","0.9530151","Neural tube morphology"
"3793v86fwvum3yx","MGI:104294","Tyro3","C57BL","Early adult","MGP_IMM_013_001","0.2799348","Total CD8+ T cells - % of ab T cells"
"37adn0xyex997na","MGI:1916413","Mrpl44","C57BL","Early adult","IMPC_OWT_002_001","0.4806201","Spleen weight"
"37e6nfwgbens59a","MGI:1350926","Etv3","C57BL","Early adult","IMPC_HEM_005_001","0.7267618","Mean cell volume"
"37gvi9xvae49nlx","MGI:1913790","Fam107b","C57BL","Early adult","M-G-P_026_001_010","5.686925e-07","Mouth morphology"
"37hhb35391t31ba","MGI:1096385","Bcan","C57BL","Late adult","MGP_IMM_077_001","0.2226436","Effector Treg cells - % of CD45+"
"37kdph4q03i15ax","MGI:108429","Lpar1","C57BL","E18.5","IMPC_ECG_028_001","0.416269","QT"
"37r44xw383b6ydx","MGI:102519","Cst3","C57BL","E15.5","IMPC_OFD_007_001","0.6491032","Whole arena resting time"
"37s5r91cwxhqaja","MGI:97850","Raly","C57BL","Early adult","IMPC_CBC_012_001","0.795225","Aspartate aminotransferase"
"37u572c65t3p8va","MGI:2151053","Serpinb7","C57BL","Early adult","IMPC_CBC_013_001","0.4102061","Alanine aminotransferase"
"37w50oi5zq4i89a","MGI:97803","Ptma","C57BL","Early adult","MGP_IMM_012_001","0.5035706","KLRG1+ Treg cells - % of Treg"
"37z58e5j13njrga","MGI:1931054","Slc43a3","C57BL","Early adult","ESLIM_021_001_002","0.9101159","Total cholesterol"
"3809w1ze5381o8a","MGI:2444508","Fitm2","C57BL","E15.5","ESLIM_006_001_030","0.2642479","Shape of vertebrae"
"38455a75yzt988x","MGI:2150016","Spred1","C57BL","Early adult","KMPCLA_GRS_010_001","0.2285862","Forelimb grip strength normalised against body weight"
"384pf7rs0b23v0a","MGI:2441837","Adgrb3","C57BL","E18.5","IMPC_HEM_029_001","0.05666899","Neutrophil differential count"
"38715id8lglui3x","MGI:98386","Sptan1","C57BL","E15.5","CCP_XRY_003_001","0.1331823","Maxilla/Pre-maxilla"
"3876gt996q80dza","MGI:2154090","Igsf8","C57BL","Early adult","IMPC_EYE_092_001","0.5010403","Retina (combined)"
"3879ndj87d5776a","MGI:101813","Coq3","C57BL","E9.5","MGP_IMM_044_001","0.1719386","Marginal zone B cells - % of B2 cells"
"388b9b881517lxx","MGI:2139018","Olah","C57BL","Early adult","CCP_LDT_004_001","0.4812629","Dark side time spent"
"388cp8w6nl3m4ja","MGI:98386","Sptan1","C57BL","Early adult","IMPC_CSD_041_002","1.235234","Hindpaw - size"
"3891jg8uj8z564x","MGI:1309469","Casq2","C57BL","Early adult","IMPC_GEP_026_001","0.1586038","Outer ear morpholgy"
"389b1k4weh00a6a","MGI:2385213","Pdik1l","C57BL","Late adult","IMPC_CBC_020_001","0.6839726","Fructosamine"
"38f02yat118w5ix","MGI:87879","Aco1","C57BL","Early adult","MGP_IMM_124_001","0.5130626","Monocytes - % of CD45+"
"38k179o5eyo3a1x","MGI:1924256","Ddrgk1","C57BL","Early adult","IMPC_CBC_015_001","0.3109532","Total cholesterol"
"38k50xocj71821a","MGI:2443564","Ambra1","C57BL","E9.5","IMPC_DXA_007_001","0.7505418","BMC/Body weight"
"38o406v56e9521a","MGI:1922387","Rprd2","C57BL","Early adult","IMPC_CBC_014_001","0.4829687","Alkaline phosphatase"
"38t3dfqziwbv34x","MGI:88015","Ampd1","C57BL","E15.5","M-G-P_016_001_002","0.9418108","Red Blood Cell-count"
"38t7597rxx805ia","MGI:2448514","R3hdm1","C57BL","Early adult","JAX_LDT_009_001","0.1863762","Percent time in light"
"38u32084a5lbz3x","MGI:1920199","Ccnt2","C57BL","E18.5","IMPC_CBC_058_001","0.3478817","Cholesterol ratio"
"38vlc57l1084tla","MGI:101813","Coq3","C57BL","Early adult","CCP_XRY_018_001","0.4738729","Shape of vertebrae"
"38wme94a0t1h8ca","MGI:1859866","Cdc20","C57BL","E12.5","MGP_MLN_012_001","0.9020064","Total CD8+ T cells - % of ab T cells"
"38wny8s614xb4bx","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_EYE_068_001","0.6938931","Left total retinal thickness"
"38xmn14g983ag7x","MGI:1201673","Shox2","C57BL","Early adult","IMPC_OFD_009_001","0.2363446","Whole arena average speed"
"38xzi89jl8f837a","MGI:1918142","Ttll7","C57BL","Early adult","JAX_OFD_021_001","0.199952","Number of rears - total"
"38y37te531x32oa","MGI:1096385","Bcan","C57BL","Middle aged adult","IMPC_XRY_063_001","0.7214685","Cervical processes"
"38z9ts5589iy01x","MGI:2140050","Ints3","C57BL","E9.5","IMPC_ABR_012_001","0.381386","30kHz-evoked ABR Threshold"
"3918i32iv5v9cca","MGI:98397","Src","129SV","Early adult","IMPC_EYE_070_001","0.3591426","Left outer nuclear layer"
"392a9gzw6x7808a","MGI:1309469","Casq2","C57BL","Early adult","IMPC_XRY_057_001","0.4955192","Kyphosis"
"394038995d6agia","MGI:2140361","Slc35d1","C57BL","E12.5","IMPC_GEP_026_001","0.3120682","Outer ear morpholgy"
"394nw9c6vfuqk4x","MGI:105383","Il18r1","C57BL","Early adult","JAX_SLW_013_001","0.157746","Breath rate during sleep mean"
"3956p94mu95r3fx","MGI:1913882","Dph6","C57BL","Early adult","IMPC_GPO_002_001","0.1957476","Placenta Morphology"
"395z29ka2605o5a","MGI:2442177","Pced1a","C57BL","Early adult","JAX_LDT_002_001","0.5206756","Light side time spent"
"399h2kq33r8499a","MGI:1916022","Smpdl3b","C57BL","Early adult","IMPC_CBC_014_001","0.3028964","Alkaline phosphatase"
"39a75r39x462t7a","MGI:2140361","Slc35d1","C57BL","E18.5","HRWL_OWT_001_001","0.3297372","Spleen weight"
"39cx96or972qeja","MGI:2385213","Pdik1l","C57BL","Early adult","IMPC_CBC_013_001","0.8757146","Alanine aminotransferase"
"39dj92614s6l17x","MGI:1927580","Bloc1s6","C57BL","Early adult","UCDLA_EYE_083_001","0.9205061","Vitreous"
"39e3fcfxfwwj9qa","MGI:1201673","Shox2","C57BL","E12.5","MGP_IMM_116_001","0.3648075","Plasma cells - % of CD45+"
"39l9t2c23520rha","MGI:1339755","Csf3r","C57BL","Early adult","MGP_CSD_008_001","0.8746777","Startle response"
"39lf563m987hi1a","MGI:2385213","Pdik1l","C57BL","Late adult","IMPC_GRS_008_001","0.5071494","Forelimb grip strength measurement mean"
"39me29sktb4k3lx","MGI:109424","Abca4","C57BL","Early adult","IMPC_OFD_050_001","0.3164687","Percentage center movement time"
"39od90290004b2x","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_ECG_004_001","0.712267","RR"
"39y01990x4q89sa","MGI:2444274","Cfap65","C57BL","Early adult","IMPC_EYE_003_001","0.9891372","Eye Hemorrhage or Blood Presence"
"39z2253y7bz381x","MGI:1922828","Fggy","C57BL","Early adult","IMPC_CSD_078_001","0.7280454","Vocalization"
"3a20of5f7umde7a","MGI:2681832","Cspp1","C57BL","Early adult","IMPC_DXA_006_001","0.1344119","Body length"
"3a3i58h2w5yl1sx","MGI:1923953","Cpb1","C57BL","Early adult","IMPC_GRS_011_001","0.07722027","Forelimb and hindlimb grip strength normalised against body weight"
"3a6ms7cd9b2zdvx","MGI:1915599","Ndufs3","129SV","Early adult","IMPC_GRS_008_001","0.3930333","Forelimb grip strength measurement mean"
"3a8hvc2y6z17x6x","MGI:1859866","Cdc20","C57BL","Early adult","CCP_XRY_018_001","0.3519842","Shape of vertebrae"
"3akwg9251f13ucx","MGI:95777","Gnas","129SV","Early adult","IMPC_ECH_012_001","0.3929952","LVPWs"
"3b01cgall07pbfx","MGI:2685195","Zbtb34","C57BL","E9.5","IMPC_DXA_003_001","0.3543155","Lean mass"
"3b11j60xnx8c06x","MGI:2384297","Map7d1","C57BL","E18.5","MGP_IMM_052_001","0.6418301","Plasma cells - % of B2 cells"
"3b2h1n1ujd7yi1x","MGI:2443564","Ambra1","C57BL","E9.5","IMPC_EYE_092_002","0.08507286","Retina (combined)"
"3b3vd1eszd18f2x","MGI:98386","Sptan1","C57BL","E9.5","JAX_ROT_002_001","0.9765458","Average duration"
"3b72l274p0u04ia","MGI:1922423","Tex38","C57BL","Early adult","IMPC_CSD_032_001","0.8600302","Locomotor activity"
"3b7701rrui1r9wx","MGI:2443564","Ambra1","C57BL","Early adult","IMPC_OFD_013_001","0.9161776","Periphery average speed"
"3br9x393tva363a","MGI:1927753","Inpp5e","C57BL","E12.5","JAX_PLC_004_001","0.5554955","Glucose"
"3c1nq7u2629gf9a","MGI:1350930","Srp9","C57BL","E9.5","UCDIP_CSD_014_001","0.6994828","Coat - hair texture / appearance - back"
"3c2h2zjv1f5u18a","MGI:97565","Pgm1","C57BL","Early adult","MGP_MLN_018_001","0.569734","CD5+ gd T cells - % of gd T cells"
"3c2xjkil4x526ya","MGI:107341","Ctss","C57BL","Early adult","UCD_OWT_003_001","0.6764044","Spleen weight"
"3c50e211g55rcfx","MGI:1918066","Rpusd2","C57BL","Early adult","IMPC_EYE_012_001","0.9687446","Pupil Shape"
"3c5r7057t43x70a","MGI:1916022","Smpdl3b","C57BL","Early adult","UCD_OWT_029_001","0.3971223","Body length"
"3c6znsg5d7y2k6x","MGI:109424","Abca4","C57BL","Early adult","JAX_LDT_005_001","0.2709724","Time mobile dark side"
"3cd4n930j8ha68a","MGI:2685195","Zbtb34","C57BL","Early adult","IMPC_DXA_004_001","0.5819352","Bone Mineral Density (excluding skull)"
"3ci746z8dy498ta","MGI:1351315","Eloa","C57BL","Early adult","IMPC_GEO_063_001","0.1051707","Craniofacial morphology"
"3cxfqat9e7ln9rx","MGI:1925835","Jade1","C57BL","Early adult","IMPC_XRY_027_001","0.5370825","Joints"
"3d334aw0uj82qla","MGI:2139461","Tmem62","C57BL","Early adult","IMPC_DXA_010_001","0.3015858","Bone Area"
"3d3ho21jx03ybvx","MGI:1922776","Eppin","C57BL","Early adult","MGP_IMM_083_001","0.770605","Naive CD8+ T cells - % of CD45+"
"3d678hw8208389a","MGI:1915599","Ndufs3","C57BL","Early adult","KMPCLA_GRS_011_001","0.3079537","Forelimb and hindlimb grip strength normalised against body weight"
"3d8kcz584wk72fa","MGI:1201673","Shox2","C57BL","E15.5","IMPC_IMM_028_002","0.3630762","Effector CD4+ T helper cells - % of live leukocytes (Panel A)"
"3d9jc2ikv9g605a","MGI:1860511","Heyl","C57BL","Early adult","IMPC_CAL_017_001","0.8407719","Respiratory Exchange Ratio"
"3dcxd53eh6r25jx","MGI:2135283","Igsf9","C57BL","Early adult","IMPC_HEM_001_001","0.6354682","White blood cell count"
"3dl3wg189v5imtx","MGI:107341","Ctss","C57BL","Early adult","IMPC_DXA_008_001","0.1371891","Lean/Body weight"
"3dq9zp5ihx11p4x","MGI:103559","Sox18","C57BL","Early adult","MGP_MLN_012_001","0.40708","Total CD8+ T cells - % of ab T cells"
"3dwxoj73lcc620a","MGI:97565","Pgm1","C57BL","Early adult","IMPC_DXA_004_001","0.4288094","Bone Mineral Density (excluding skull)"
"3dyh5bkd6xja45x","MGI:2444631","Bltp1","C57BL","E12.5","MGP_IMM_093_001","0.08234132","Resting CD4- NKT cells - % of CD45+"
"3e788923ldv4y1x","MGI:1916330","Gmppa","C57BL","Early adult","ESLIM_020_001_004","0.319352","Visual abnormality"
"3e8tq88wu02l8vx","MGI:2443564","Ambra1","C57BL","E9.5","IMPC_FEA_003_001","0.1417561","Conditioning Baseline % Freezing Time"
"3eaf41s703t830a","MGI:1927241","Wdr12","C57BL","E12.5","ESLIM_011_001_005","0.9214419","PP4 startle magnitude"
"3ec6365fad98loa","MGI:102519","Cst3","C57BL","Early adult","IMPC_ECG_010_001","0.7201867","HRV"
"3et44viq6ph325a","MGI:3611450","Mettl21c","C57BL","Early adult","IMPC_GRS_010_001","0.6129481","Forelimb grip strength normalised against body weight"
"3f0001fm000zsix","MGI:1889549","Txnip","C57BL","Early adult","IMPC_DXA_002_001","7.161528e-06","Fat mass"
"3f006icb1md79yx","MGI:1096385","Bcan","C57BL","Middle aged adult","IMPC_ABR_010_001","0.2875296","24kHz-evoked ABR Threshold"
"3f30r4q47992vwa","MGI:2140259","Zmynd12","C57BL","Early adult","IMPC_ECG_006_001","0.9504561","PR"
"3f9f1isp1013y7x","MGI:2685195","Zbtb34","C57BL","E9.5","CCP_XRY_062_001","0.5498581","Polysyndactylism"
"3fmr71t0m799g9a","MGI:1923304","Prrc2b","C57BL","Early adult","IMPC_CSD_033_001","0.2632826","Gait"
"3fyzl4n23j0y08x","MGI:1922387","Rprd2","C57BL","E12.5","IMPC_CBC_003_001","0.3339441","Chloride"
"3g2z9wx2jma491x","MGI:3588202","Garin4","C55BL","Early adult","IMPC_CSD_024_001","0.4413523","Vibrissae - appearance"
"3g3gtqlpwalidea","MGI:1915599","Ndufs3","C57BL","Early adult","ESLIM_021_001_002","0.812861","Total cholesterol"
"3g4j4023807137x","MGI:104516","Slc23a3","C57BL","Early adult","IMPC_CBC_008_001","0.2877882","Total bilirubin"
"3g5577oaq3d7s8x","MGI:97565","Pgm1","C57BL","E12.5","JAX_LDT_003_001","0.476006","Time mobile light side"
"3g88d7a93e1sz3x","MGI:1278321","Epc2","C57BL","Early adult","IMPC_XRY_022_001","0.7127811","Radius"
"3g8ou20ns3xyx6a","MGI:97803","Ptma","C54BL","Early adult","MGP_IMM_073_001","0.4408161","Effector CD4+ T helper cells - % of CD45+"
"3g8w61i29v7trix","MGI:1915247","Ddx59","C57BL","Early adult","IMPC_GEM_029_001","0.8416319","Tail Morphology"
"3gle32wk5b592ha","MGI:102844","Mybpc3","C57BL","Early adult","ESLIM_016_001_004","0.4676624","Haematocrit"
"3gu4km9985f840x","MGI:2679420","Pak6","C57BL","Early adult","MGP_IMM_010_001","0.8056648","Effector Treg cells - % of Treg"
"3gvl89h057k9a5x","MGI:2443564","Ambra1","C57BL","E18.5","IMPC_CSD_028_001","0.4457467","Snout size"
"3gz901c8qv0gq8x","MGI:97565","Pgm1","C57BL","Early adult","JAX_OFD_021_001","0.1291233","Number of rears - total"
"3h210sj3zxt38ra","MGI:1923676","Fam209","C57BL","Early adult","MGP_IMM_009_001","0.4414386","Total Treg cells - % of CD4+"
"3h3htm0ycsu063x","MGI:1346342","Clca1","C57BL","Early adult","IMPC_ECH_018_001","0.7558412","Respiration Rate"
"3h3pa39z8483jwa","MGI:1924817","Tram2","C57BL","Early adult","IMPC_CSD_056_001","0.07313926","Skin color - whole body"
"3h46g3g15q0obfa","MGI:2444631","Bltp1","C57BL","E12.5","IMPC_CBC_014_001","0.4189851","Alkaline phosphatase"
"3h4vngzuch330yx","MGI:2150016","Spred1","C57BL","Early adult","ESLIM_015_001_002","0.6579846","Urea"
"3h7m29lwqg44o4a","MGI:1201673","Shox2","C57BL","E9.5","UCDIP_CSD_014_001","0.8823847","Coat - hair texture / appearance - back"
"3hn7g414x9vg46x","MGI:106925","Cldn11","C57BL","Early adult","IMPC_CSD_040_002","0.7083909","Forepaw - size"
"3hu4555wb44952x","MGI:1309469","Casq2","C57BL","E12.5","IMPC_GEO_065_001","0.5599476","Limb morphology"
"3hzkdlh91yr3kca","MGI:3617846","Ankrd34a","C57BL","Early adult","ESLIM_013_001_004","0.0934331","Left retina pigmentation"
"3i3t0z97m248ixa","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_IPG_010_001","0.1546425","Fasted blood glucose concentration"
"3i54xa7halnc14a","MGI:1920484","Snorc","C57BL","Early adult","JAX_LDT_008_001","0.2535528","Percent time in dark"
"3irp182m5c75cha","MGI:2441837","Adgrb3","C57BL","E18.5","ESLIM_005_001_701","0.6058797","BMC/Body weight"
"3ix4164498o816x","MGI:2140050","Ints3","C57BL","Early adult","IMPC_CBC_017_001","0.9942897","Triglycerides"
"3j25hd4szd9hp3a","MGI:2441837","Adgrb3","C57BL","Early adult","IMPC_EYE_023_001","0.08398811","Optic Disc"
"3j32v9n28z4m57a","MGI:1922776","Eppin","C57BL","Middle aged adult","IMPC_CSD_041_002","0.6320127","Hindpaw - size"
"3j7527j92jq519a","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_EYE_087_001","0.7074742","Right vitreous humor thickness"
"3j870y6451b4a4a","MGI:1351315","Eloa","C57BL","E9.5","MGP_MLN_011_001","0.0902311","KLRG1+ Treg cells - % of Treg"
"3j8r9016mx9qm5a","MGI:2443100","Bend7","C57BL","Early adult","IMPC_XRY_022_001","0.3941365","Radius"
"3jzo725m7oqsdja","MGI:99218","Cdh4","C57BL","Early adult","IMPC_CSD_078_001","0.8221548","Vocalization"
"3k0493dry3pc2vx","MGI:2443564","Ambra1","C57BL","E18.5","IMPC_GEO_064_001","0.4179848","Edema"
"3k196sh7877k22a","MGI:104793","Runx1t1","C57BL","Early adult","IMPC_HEM_003_001","0.4292041","Hemoglobin"
"3kc1uc75384f0cx","MGI:1916987","Ttl","C57BL","E15.5","JAX_OFD_007_001","0.8217556","Whole arena resting time"
"3kd92051659y91x","MGI:107171","Ppp3r2","C57BL","Early adult","IMPC_GRS_011_001","0.3404644","Forelimb and hindlimb grip strength normalised against body weight"
"3ku9a8u95a8695a","MGI:106925","Cldn11","C57BL","Late adult","UCDLA_CSD_011_001","0.8584563","Coat - hair distribution - back"
"3l2h9tif7b0s20x","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_OFD_013_001","0.6275607","Periphery average speed"
"3l4188665o1jmra","MGI:1891410","Pacsin3","C57BL","Early adult","IMPC_ACS_033_001","0.8107458","% Pre-pulse inhibition - PPI1"
"3l51efr624a1pda","MGI:1859866","Cdc20","C57BL","E12.5","IMPC_OFD_019_001","0.7716472","Number of center entries"
"3l626f91l704wqa","MGI:87879","Aco1","C54BL","Early adult","IMPC_FEA_003_001","0.8325664","Conditioning Baseline % Freezing Time"
"3logu7w40051mja","MGI:1916987","Ttl","C57BL","Early adult","KMPCLA_GRS_010_001","0.6314771","Forelimb grip strength normalised against body weight"
"3m181tj02532t0a","MGI:97565","Pgm1","C57BL","Early adult","IMPC_GEP_034_001","0.8991693","Skin Appearance"
"3m6irtqu17z28tx","MGI:2158201","Acot8","C57BL","Early adult","IMPC_HEM_029_001","0.103597","Neutrophil differential count"
"3m6wq38loycmf9a","MGI:1859866","Cdc20","C57BL","E9.5","IMPC_EYE_027_001","0.9363436","Persistence of hyaloid vascular system"
"3mh91qqospt2vmx","MGI:2676312","Abca12","C57BL","Early adult","HRWL_OWT_001_001","0.6522456","Spleen weight"
"3mkj1b9m8g5cd4x","MGI:1201673","Shox2","C57BL","Early adult","M-G-P_016_001_006","0.08305102","Mean-corpuscular-haemoglobin"
"3mtx5581nekdrea","MGI:1924232","Vxn","C57BL","Early adult","IMPC_IMM_032_002","0.6953027","Effector CD8+ T cells - % of live leukocytes (Panel A)"
"3mvh76k3457i96x","MGI:1914454","Eif2s2","C57BL","Early adult","JAX_OFD_017_001","0.3931991","Center average speed"
"3mw9u4b84y2zt9a","MGI:2681832","Cspp1","C57BL","Early adult","IMPC_FEA_105_001","0.1826533","Difference in Context and Conditioning Baseline % Freezing"
"3n1p79z652ca2hx","MGI:1913746","Ppdpf","C57BL","Early adult","MGP_PBI_009_001","0.4793985","CD4+ CD44+ CD62L- alpha beta effector T cell percentage"
"3n31npw34db1n4a","MGI:1924265","Mpped2","C57BL","Early adult","IMPC_IPG_011_001","0.90677","Initial response to glucose challenge"
"3n84cr43l6ii30x","MGI:1349164","Sdc4","C57BL","Early adult","IMPC_GEM_068_001","0.5487322","Forebrain morphology"
"3n8ustb6o8459ta","MGI:1921735","Lrrc71","C57BL","Early adult","IMPC_GEP_034_001","0.1257716","Skin Appearance"
"3nce2ue9x1n5n0x","MGI:2444681","Hhat","C57BL","Early adult","JAX_OFD_010_001","0.429496","Periphery distance travelled"
"3ns38x19w2r940a","MGI:2140712","Phf24","C57BL","Early adult","IMPC_CSD_041_002","0.08909767","Hindpaw - size"
"3o4s2844da1b2ma","MGI:97565","Pgm1","C57BL","Early adult","UCDLA_HEM_002_001","0.6931321","Red blood cell count"
"3opnxjvt7vyuk4x","MGI:1332243","Ugcg","C57BL","Early adult","MGP_MLN_072_001","0.7041393","KLRG1+ Treg cells - % of CD45+"
"3p41mf849c9r5cx","MGI:1915599","Ndufs3","129SV","Early adult","IMPC_CSD_016_001","0.4610128","Coat - hair texture / appearance - abdomen"
"3p4a3ixhq94f27a","MGI:106925","Cldn11","C57BL","Middle aged adult","JAX_LDT_005_001","0.09215595","Time mobile dark side"
"3pp0087973ed0va","MGI:96429","Ifi204","C57BL","Early adult","IMPC_GRS_011_001","0.7329148","Forelimb and hindlimb grip strength normalised against body weight"
"3q03zl74jtoy6ua","MGI:1095412","Unc5c","C57BL","Late adult","JAX_OFD_050_001","0.4212521","Percentage center movement time"
