disease_id	disease_term	gene_accession_id	phenodigm_score
OMIM:609136	Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, And Hirschsprung Disease	MGI:98967	19.25
OMIM:618342	Intellectual Developmental Disorder With Abnormal Behavior, Microcephaly, And Short Stature	MGI:98967	24.21
OMIM:617903	Neurodevelopmental Disorder With Poor Language And Loss Of Hand Skills	MGI:98967	31.01
OMIM:619092	Neurodevelopmental Disorder With Microcephaly, Impaired Language, Epilepsy, And Gait Abnormalities	MGI:98967	33.09
OMIM:619103	Neurodevelopmental Disorder With Dysmorphic Facies, Sleep Disturbance, And Brain Abnormalities	MGI:98967	21.61
OMIM:620494	Neurodevelopmental Disorder With Impaired Language, Behavioral Abnormalities, And Dysmorphic Facies	MGI:98967	16.92
OMIM:619575	Developmental Delay With Or Without Intellectual Impairment Or Behavioral Abnormalities	MGI:98967	22.78
OMIM:619725	Neurodevelopmental Disorder With Or Without Variable Movement Or Behavioral Abnormalities	MGI:98967	29.19
OMIM:620073	Neurodevelopmental Disorder With Dysmorphic Facies And Skeletal And Brain Abnormalities	MGI:98967	10.21
ORPHA:391307	Severe Intellectual Disability-Short Stature-Behavioral Abnormalities-Facial Dysmorphism Syndrome	MGI:98967	33.01
OMIM:301044	Developmental And Epileptic Encephalopathy 85 With Or Without Midline Brain Defects	MGI:98967	11.83
OMIM:617393	Neurodevelopmental Disorder With Epilepsy, Cataracts, Feeding Difficulties, And Delayed Brain Myelination	MGI:98967	27.21
OMIM:618709	Neurodevelopmental Disorder With Nonspecific Brain Abnormalities And With Or Without Seizures	MGI:98967	31.9
OMIM:617820	Neurodevelopmental Disorder With Or Without Hyperkinetic Movements And Seizures, Autosomal Recessive	MGI:98967	34.04
OMIM:620469	Cranial Dysinnervation Disorder, Congenital, With Absent Corneal Reflex And Developmental Delay	MGI:98967	42.01
ORPHA:457351	Microcephaly-Intellectual Disability-Sensorineural Hearing Loss-Epilepsy-Abnormal Muscle Tone Syndrome	MGI:98967	19.3
ORPHA:397933	Severe Intellectual Disability-Progressive Postnatal Microcephaly-Midline Stereotypic Hand Movements Syndrome	MGI:98967	43.05
ORPHA:411986	Early-Onset Epileptic Encephalopathy-Cortical Blindness-Intellectual Disability-Facial Dysmorphism Syndrome	MGI:98967	25.38
OMIM:301066	Intellectual Developmental Disorder, X-Linked, Syndromic, With Pigmentary Mosaicism And Coarse Facies	MGI:98967	14.73
OMIM:613670	Intellectual Developmental Disorder With Language Impairment And With Or Without Autistic Features	MGI:98967	24.93
OMIM:617807	Neurodevelopmental Disorder With Ataxic Gait, Absent Speech, And Decreased Cortical White Matter	MGI:98967	27.14
OMIM:620428	Neurodevelopmental Disorder With Motor And Language Delay, Ocular Defects, And Brain Abnormalities	MGI:98967	28.53
OMIM:619580	Neurodevelopmental Disorder With Impaired Language And Ataxia And With Or Without Seizures	MGI:98967	35.64
OMIM:620292	Neurodevelopmental Disorder With Language Delay And Behavioral Abnormalities, With Or Without Seizures	MGI:98967	29.15
ORPHA:572013	Posterior-Predominant Lissencephaly-Broad Flat Pons And Medulla-Midline Crossing Defects Syndrome	MGI:98967	16.96
ORPHA:480880	X-Linked Female Restricted Facial Dysmorphism-Short Stature-Choanal Atresia-Intellectual Disability	MGI:98967	15.24
ORPHA:496641	Early-Onset Progressive Diffuse Brain Atrophy-Microcephaly-Muscle Weakness-Optic Atrophy Syndrome	MGI:98967	17.71
ORPHA:500159	Microcephaly-Corpus Callosum And Cerebellar Vermis Hypoplasia-Facial Dysmorphism-Intellectual Disability Syndrom	MGI:98967	17.56
OMIM:617171	Neurodevelopmental Disorder With Hypotonia And Impaired Expressive Language And With Or Without Seizures	MGI:98967	36.58
OMIM:618906	Intellectual Developmental Disorder With Autistic Features And Language Delay, With Or Without Seizures	MGI:98967	33
OMIM:208400	Aspartylglucosaminuria	MGI:96090	6.06
OMIM:190330	Trichomegaly	MGI:98266	70.24
OMIM:309300	Megalocornea	MGI:98266	50.85
OMIM:614156	Hyperbiliverdinemia	MGI:1928271	46.62
ORPHA:180229	Polyembryoma	MGI:96090	14.89
ORPHA:14	Abetalipoproteinemia	MGI:1928271	14.61
ORPHA:552	Mody	MGI:109279	40.04
ORPHA:533	Listeriosis	MGI:1928271	7.66
ORPHA:3376	Triploidy	MGI:1928271	9.51
ORPHA:349	Fucosidosis	MGI:1928271	10.97
ORPHA:2477	Megalencephaly	MGI:96090	18.96
ORPHA:95512	Adenohypophysitis	MGI:109279	25.14
ORPHA:95513	Panhypophysitis	MGI:109279	25.46
ORPHA:97283	Somatostatinoma	MGI:1928271	14.93
ORPHA:93	Aspartylglucosaminuria	MGI:96090	6.23
OMIM:250100	Metachromatic Leukodystrophy	MGI:1928271	16.88
OMIM:230200	Galactosemia Ii	MGI:98266	45.07
OMIM:145750	Hypertriglyceridemia 1	MGI:109279	42.58
OMIM:223370	Dubowitz Syndrome	MGI:1928271	5.16
OMIM:149500	Kyrle Disease	MGI:98266	63.52
OMIM:106210	Aniridia 1	MGI:98266	30.37
OMIM:114290	Campomelic Dysplasia	MGI:3665157	3.79
OMIM:115660	Cataract 7	MGI:98266	58.71
OMIM:115800	Cataract 29	MGI:98266	97.86
OMIM:115900	Cataract 42	MGI:98266	66.5
OMIM:116400	Cataract 41	MGI:98266	64.95
OMIM:302200	Cataract 40	MGI:98266	55.55
OMIM:310600	Norrie Disease	MGI:98266	33.4
OMIM:262300	Achromatopsia 3	MGI:98266	25.59
OMIM:255990	Nathalie Syndrome	MGI:98266	45.09
OMIM:601552	Traboulsi Syndrome	MGI:98266	23.99
OMIM:177650	Exfoliation Syndrome	MGI:98266	58.54
OMIM:603165	Dermatitis, Atopic	MGI:98266	24.13
ORPHA:261318	Trisomy 20P	MGI:96090	5.56
OMIM:211770	Cahmr Syndrome	MGI:98266	49.85
OMIM:619290	Mahvash Disease	MGI:109279	53.15
OMIM:619324	Hypertriglyceridemia 2	MGI:1928271	57.48
OMIM:273150	Testes, Rudimentary	MGI:96090	57.56
ORPHA:2663	Nathalie Syndrome	MGI:98266	50.09
ORPHA:170	Woolly Hair	MGI:98266	24.97
ORPHA:325124	Testicular Agenesis	MGI:96090	48.73
OMIM:614691	Cataract 38	MGI:98266	96.43
OMIM:612651	Endocrine-Cerebroosteodysplasia	MGI:3665157	10.59
OMIM:612713	Kahrizi Syndrome	MGI:98266	29.57
OMIM:609376	Cataract 35	MGI:98266	97.86
OMIM:610019	Cataract 18	MGI:98266	64.95
OMIM:612018	Cataract 47	MGI:98266	67.12
OMIM:612109	Oculoauricular Syndrome	MGI:98266	25.64
OMIM:601202	Cataract 24	MGI:98266	54.16
OMIM:615363	Estrogen Resistance	MGI:109279	37.62
OMIM:614303	Edict Syndrome	MGI:98266	50.21
OMIM:614422	Cataract 37	MGI:98266	96.43
OMIM:613887	Cataract 36	MGI:98266	97.86
OMIM:617141	Aniridia 2	MGI:98266	57.37
OMIM:617142	Aniridia 3	MGI:98266	49.27
OMIM:616851	Cataract 45	MGI:98266	96.43
OMIM:616217	Nephronophthisis 19	MGI:1928271	43.58
OMIM:616279	Cataract 43	MGI:98266	63.52
OMIM:616509	Cataract 44	MGI:98266	76.95
OMIM:618881	Galactosemia Iv	MGI:98266	49.6
OMIM:618415	Cataract 48	MGI:98266	37.1
ORPHA:1501	Adrenocortical Carcinoma	MGI:109279	37.66
ORPHA:1766	Dysequilibrium Syndrome	MGI:98266	27.57
ORPHA:190	Coats Disease	MGI:98266	42.27
ORPHA:1359	Carney Complex	MGI:96090	18.41
ORPHA:139466	Serkal Syndrome	MGI:3665157	24.23
OMIM:619593	Cataract 49	MGI:98266	44.99
ORPHA:3385	African Trypanosomiasis	MGI:109279	8.42
ORPHA:2075	Genitopalatocardiac Syndrome	MGI:1928271	10.96
ORPHA:250923	Isolated Aniridia	MGI:98266	47.37
ORPHA:2331	Kawasaki Disease	MGI:1928271	7.3
ORPHA:94083	Partington Syndrome	MGI:96090	24.28
ORPHA:79500	Doors Syndrome	MGI:109279	5.61
ORPHA:744	Proteus Syndrome	MGI:96090	4.58
ORPHA:75858	Morm Syndrome	MGI:98266	25.34
ORPHA:778	Rett Syndrome	MGI:1928271	7.72
ORPHA:781	Q Fever	MGI:1928271	10.14
ORPHA:96253	Cushing Disease	MGI:109279	18.93
ORPHA:79324	Alg12-Cdg	MGI:1928271	6.25
ORPHA:85138	Addison Disease	MGI:109279	20.37
ORPHA:31150	Tangier Disease	MGI:1928271	17.24
ORPHA:90041	Gaisböck Syndrome	MGI:1928271	6.28
ORPHA:439254	Itm2B Amyloidosis	MGI:98266	27.72
ORPHA:67043	Amoebic Keratitis	MGI:98266	48.59
ORPHA:708	Peters Anomaly	MGI:98266	53.39
ORPHA:91	Aromatase Deficiency	MGI:96090	18.65
ORPHA:91355	Sheehan Syndrome	MGI:109279	21.88
OMIM:246700	Chylomicron Retention Disease	MGI:1928271	35.73
OMIM:136520	Foveal Hypoplasia 1	MGI:98266	51.27
OMIM:217700	Corneal Endothelial Dystrophy	MGI:98266	58.83
OMIM:236680	Hydrolethalus Syndrome 1	MGI:109279	9.7
OMIM:237500	Dubin-Johnson Syndrome	MGI:1928271	53.6
OMIM:240950	Hypogonadism-Cataract Syndrome	MGI:98266	39.67
OMIM:244450	Kaufman Oculocerebrofacial Syndrome	MGI:1928271	5.53
OMIM:201400	Acth Deficiency, Isolated	MGI:109279	56.43
OMIM:202200	Glucocorticoid Deficiency 1	MGI:109279	38.52
OMIM:121800	Schnyder Corneal Dystrophy	MGI:98266	68.48
OMIM:131430	Eosinophilopenia	MGI:1345961	42.29
OMIM:304730	Dermoids Of Cornea	MGI:98266	65.83
OMIM:300624	Fragile X Syndrome	MGI:96090	16.42
OMIM:300200	Adrenal Hypoplasia, Congenital	MGI:109279	35.55
OMIM:300602	Clark-Baraitser syndrome	MGI:96090	10.44
OMIM:180104	Retinitis Pigmentosa 9	MGI:98266	29.92
OMIM:607398	Glucocorticoid Deficiency 2	MGI:109279	29.93
ORPHA:263479	Fuchs Heterochromic Iridocyclitis	MGI:98266	27.17
OMIM:210500	Biliary Atresia, Extrahepatic	MGI:1928271	50.49
OMIM:273395	Tetraamelia Syndrome 1	MGI:109279	12.85
ORPHA:291	Congenital Varicella Syndrome	MGI:98266	33.96
ORPHA:280	Wolf-Hirschhorn Syndrome	MGI:1928271	3.18
ORPHA:284180	Xp22.13P22.2 Duplication Syndrome	MGI:96090	9.78
ORPHA:2869	Peutz-Jeghers Syndrome	MGI:1928271	10.24
OMIM:609197	Glucocorticoid Deficiency 3	MGI:109279	56.57
OMIM:611465	Gallbladder Disease 4	MGI:1928271	70.16
OMIM:610092	Microphthalmia/Coloboma 3	MGI:98266	64.19
OMIM:610883	Potocki-Lupski Syndrome	MGI:1928271	8.75
OMIM:600803	Gallbladder Disease 1	MGI:1928271	60.64
OMIM:615184	Cardiomyopathy, Dilated, 1Ii	MGI:98266	31.9
OMIM:614338	Pancreatic Lipase Deficiency	MGI:1928271	52.19
OMIM:613801	Retinitis Pigmentosa 40	MGI:98266	38.03
OMIM:615512	Triosephosphate Isomerase Deficiency	MGI:1928271	14.05
OMIM:615558	Hypobetalipoproteinemia, Familial, 1	MGI:1928271	40.09
OMIM:615619	Cholangiocarcinoma, Susceptibility To	MGI:1928271	76.76
OMIM:617394	Sclerosing Cholangitis, Neonatal	MGI:1928271	46.51
OMIM:615935	Pancreatic Agenesis 2	MGI:109279	44.42
OMIM:618156	Squalene Synthase Deficiency	MGI:1928271	13.47
OMIM:618220	Retinitis Pigmentosa 84	MGI:98266	28.06
OMIM:616468	Exudative Vitreoretinopathy 6	MGI:98266	24.13
OMIM:618463	Hypoalphalipoproteinemia, Primary, 2	MGI:98266	50.46
OMIM:617825	Glucocorticoid Deficiency 5	MGI:109279	46.43
OMIM:619016	Ifap Syndrome 2	MGI:98266	24.53
ORPHA:1885	Isolated Ectopia Lentis	MGI:98266	34.81
ORPHA:1193	Atkin-Flaitz Syndrome	MGI:96090	15.75
ORPHA:1304	Brucellosis	MGI:1345961	26.16
ORPHA:131	Budd-Chiari Syndrome	MGI:1928271	26.11
ORPHA:1377	Cataract-Microcornea Syndrome	MGI:98266	62.51
ORPHA:139474	17Q11.2 Microduplication Syndrome	MGI:96090	16.58
ORPHA:14	Abetalipoproteinemia	MGI:87868	9.31
ORPHA:100086	Gallbladder Neuroendocrine Tumor	MGI:1928271	27.37
ORPHA:562	Mccune-Albright Syndrome	MGI:96090	18.43
ORPHA:570422	Galactose Mutarotase Deficiency	MGI:98266	26.15
ORPHA:3449	Weill-Marchesani Syndrome	MGI:98266	23.73
ORPHA:606	Proximal Myotonic Myopathy	MGI:98266	62.42
ORPHA:2334	Autosomal Dominant Keratitis	MGI:98266	42.26
ORPHA:95409	Acute Adrenal Insufficiency	MGI:109279	18.76
ORPHA:8	47, Xyy Syndrome	MGI:96090	17.27
ORPHA:776	Lujan-Fryns Syndrome	MGI:96090	9.46
ORPHA:983	Testicular Regression Syndrome	MGI:96090	57.08
ORPHA:320	Apparent Mineralocorticoid Excess	MGI:109279	17.24
ORPHA:887	Vacterl/Vater Association	MGI:1928271	6.25
ORPHA:438274	Gcgr-Related Hyperglucagonemia	MGI:1928271	39.27
ORPHA:71	Chylomicron Retention Disease	MGI:1928271	25.34
ORPHA:361	Familial Glucocorticoid Deficiency	MGI:109279	26.15
ORPHA:90363	Secondary Intestinal Lymphangiectasia	MGI:1928271	13.43
ORPHA:908	Fragile X Syndrome	MGI:96090	9.1
ORPHA:91348	Functioning Gonadotropic Adenoma	MGI:96090	27.3
ORPHA:99867	Thymoma	MGI:1345961	28.77
OMIM:231550	Achalasia-Addisonianism-Alacrima Syndrome	MGI:109279	22.8
OMIM:233450	Goodpasture Syndrome	MGI:1345961	28.16
OMIM:140300	Hashimoto Thyroiditis	MGI:1345961	50.19
OMIM:146200	Hypoparathyroidism, Familial Isolated, 1	MGI:98266	22.86
OMIM:147630	Insulinomatosis And Diabetes Mellitus	MGI:109279	52.59
OMIM:223370	Dubowitz Syndrome	MGI:87868	3.62
OMIM:225200	Ectopia Lentis Et Pupillae	MGI:98266	53.51
OMIM:239900	Hypertrophic Neuropathy And Cataract	MGI:98266	75.51
OMIM:201710	Lipoid Congenital Adrenal Hyperplasia	MGI:109279	47.21
OMIM:103900	Hyperaldosteronism, Familial, Type I	MGI:109279	50.31
OMIM:106220	Aniridia And Absent Patella	MGI:98266	51.26
OMIM:107250	Anterior Segment Dysgenesis 1	MGI:98266	60.88
OMIM:109100	Autoimmune Disease	MGI:1345961	52.51
OMIM:109720	Biliary Cirrhosis, Primary, 1	MGI:1928271	58.7
OMIM:115650	Cataract 32, Multiple Types	MGI:98266	60.88
OMIM:115665	Cataract 8, Multiple Types	MGI:98266	69.88
OMIM:115700	Cataract 4, Multiple Types	MGI:98266	96.43
OMIM:116100	Cataract 20, Multiple Types	MGI:98266	60.28
OMIM:116200	Cataract 1, Multiple Types	MGI:98266	70.76
OMIM:116300	Cataract 30, Multiple Types	MGI:98266	63.43
OMIM:116600	Cataract 6, Multiple Types	MGI:98266	55.36
OMIM:116800	Cataract 5, Multiple Types	MGI:98266	64.79
OMIM:185070	Stormorken Syndrome	MGI:1345961	19
OMIM:193230	Vitreoretinal Degeneration, Snowflake Type	MGI:98266	40.67
OMIM:300752	Protoporphyria, Erythropoietic, X-Linked	MGI:1928271	39.78
OMIM:312910	Spastic Paraparesis And Deafness	MGI:98266	37.81
OMIM:264800	Pseudoxanthoma Elasticum	MGI:1351634	7.35
OMIM:266510	Peroxisome Biogenesis Disorder 3B	MGI:1928271	20.65
OMIM:268100	Enhanced S-Cone Syndrome	MGI:98266	25.66
OMIM:256450	Hyperinsulinemic Hypoglycemia, Familial, 1	MGI:109279	49.21
OMIM:601371	Cataract, Age-Related Nuclear	MGI:98266	64.95
OMIM:601547	Cataract 3, Multiple Types	MGI:98266	72.05
OMIM:601820	Hyperinsulinemic Hypoglycemia, Familial, 2	MGI:109279	52.12
OMIM:601885	Cataract 14, Multiple Types	MGI:98266	73.26
OMIM:602485	Hyperinsulinemic Hypoglycemia, Familial, 3	MGI:109279	57.23
OMIM:174770	Actinic Prurigo	MGI:1345961	33.25
OMIM:176410	Precocious Puberty, Male-Limited	MGI:96090	49.76
OMIM:178900	Pupillary Membrane, Persistence Of	MGI:98266	79.74
OMIM:604219	Cataract 9, Multiple Types	MGI:98266	49.13
OMIM:604229	Anterior Segment Dysgenesis 5	MGI:98266	42.87
OMIM:604307	Cataract 2, Multiple Types	MGI:98266	52.14
OMIM:605387	Cataract 31, Multiple Types	MGI:98266	62.38
OMIM:606762	Hyperinsulinemic Hypoglycemia, Familial, 6	MGI:109279	44.85
ORPHA:2571	X-Linked Immunoneurologic Disorder	MGI:98266	24.62
OMIM:209950	Immunodeficiency 27A	MGI:1345961	38.94
OMIM:212400	Cataract And Congenital Ichthyosis	MGI:98266	78.51
OMIM:216820	Coloboma, Ocular, Autosomal Recessive	MGI:98266	32.47
OMIM:619324	Hypertriglyceridemia 2	MGI:87868	68.02
OMIM:269400	Anterior Segment Dysgenesis 7	MGI:98266	50.65
OMIM:270150	Sjogren Syndrome	MGI:1345961	42.47
OMIM:270400	Smith-Lemli-Opitz Syndrome	MGI:1928271	5.6
OMIM:273680	Thanatophoric Dysplasia, Glasgow Variant	MGI:98266	39.81
ORPHA:229717	Isolated Agammaglobulinemia	MGI:1345961	32.61
ORPHA:1656	Dermatitis Herpetiformis	MGI:1345961	35.09
ORPHA:171844	Blindness-Scoliosis-Arachnodactyly Syndrome	MGI:98266	32.06
ORPHA:3233	Cochleosaccular Degeneration-Cataract Syndrome	MGI:98266	41.8
ORPHA:329918	C3 Glomerulopathy	MGI:1345961	39.15
OMIM:614662	Cortisone Reductase Deficiency 2	MGI:109279	42.82
OMIM:614885	Peroxisome Biogenesis Disorder 11B	MGI:98266	29.13
OMIM:613195	Weill-Marchesani Syndrome 4	MGI:98266	41.56
OMIM:608367	Myopia 17, Autosomal Dominant	MGI:98266	56.1
OMIM:609741	Cataract 22, Multiple Types	MGI:98266	68.8
OMIM:611391	Cataract 33, Multiple Types	MGI:98266	60.96
OMIM:611489	Corticosteroid-Binding Globulin Deficiency	MGI:109279	18.06
OMIM:611544	Cataract 17, Multiple Types	MGI:98266	57.05
OMIM:611597	Cataract 12, Multiple Types	MGI:98266	74.98
OMIM:611881	Glycogen Storage Disease Xii	MGI:1928271	18.5
OMIM:612227	Diabetes Mellitus, Ketosis-Prone	MGI:109279	52.64
OMIM:610021	Hyperinsulinemic Hypoglycemia, Familial, 7	MGI:109279	56
OMIM:610202	Cataract 21, Multiple Types	MGI:98266	50.41
OMIM:610256	Anterior Segment Dysgenesis 2	MGI:98266	46.28
OMIM:610425	Cataract 23, Multiple Types	MGI:98266	66.93
OMIM:610623	Cataract 11, Multiple Types	MGI:98266	46.18
OMIM:600881	Cataract 10, Multiple Types	MGI:98266	72.36
OMIM:615188	Cataract 39, Multiple Types	MGI:98266	67.97
OMIM:615274	Cataract 15, Multiple Types	MGI:98266	60.96
OMIM:615387	Immunodeficiency 7	MGI:1345961	44.29
OMIM:614186	Leber Congenital Amaurosis 16	MGI:98266	25.86
OMIM:614284	Stickler Syndrome, Type V	MGI:98266	28.85
OMIM:614377	Nephronophthisis 13	MGI:1345961	39.47
OMIM:613677	Hyperaldosteronism, Familial, Type Iii	MGI:109279	30.43
OMIM:613763	Cataract 16, Multiple Types	MGI:98266	52.17
OMIM:613791	Masp2 Deficiency	MGI:1345961	47.59
OMIM:613826	Leber Congenital Amaurosis 6	MGI:98266	35.58
OMIM:613829	Leber Congenital Amaurosis 7	MGI:98266	40.99
OMIM:617315	Anterior Segment Dysgenesis 6	MGI:98266	51.55
OMIM:617319	Anterior Segment Dysgenesis 8	MGI:98266	61.2
OMIM:617053	Mirage Syndrome	MGI:1345961	13.2
OMIM:617251	Uncombable Hair Syndrome 2	MGI:98266	59.63
OMIM:615816	Immunodeficiency 23	MGI:1345961	18.45
OMIM:615995	Bardet-Biedl Syndrome 18	MGI:98266	32.88
ORPHA:163	Hereditary Hyperferritinemia-Cataract Syndrome	MGI:98266	97.86
ORPHA:199296	Congenital Isolated Acth Deficiency	MGI:109279	47.58
ORPHA:2035	Lymphatic Filariasis	MGI:1345961	29.13
ORPHA:206572	Overlap Myositis	MGI:1345961	32.81
ORPHA:1068	Aniridia-Intellectual Disability Syndrome	MGI:98266	63.31
ORPHA:1069	Aniridia-Absent Patella Syndrome	MGI:98266	32.68
ORPHA:117	Behçet Disease	MGI:1345961	19.57
ORPHA:1303	Bronchiolitis Obliterans	MGI:1345961	28.69
ORPHA:1380	Cataract-Nephropathy-Encephalopathy Syndrome	MGI:98266	44.67
ORPHA:1397	Hydrocephaly-Cerebellar Agenesis Syndrome	MGI:98266	55.24
OMIM:619649	Chromosome 16Q12 Duplication Syndrome	MGI:98266	24.18
OMIM:619781	Myopia 28, Autosomal Recessive	MGI:98266	49.36
ORPHA:556030	Early-Onset Familial Hypoaldosteronism	MGI:109279	26.06
ORPHA:556037	Late-Onset Familial Hypoaldosteronism	MGI:109279	27.96
ORPHA:449395	Igg4-Related Kidney Disease	MGI:1928271	7.5
ORPHA:47612	Felty Syndrome	MGI:1345961	31.51
ORPHA:482	Kimura Disease	MGI:1345961	31.04
ORPHA:48435	Postinfectious Vasculitis	MGI:1345961	22.73
ORPHA:3453	Autoimmune Polyendocrinopathy Type 1	MGI:109279	32.76
ORPHA:37202	Interstitial Cystitis	MGI:1345961	28.41
ORPHA:39041	Omenn Syndrome	MGI:1345961	31.77
ORPHA:400	Cystic Echinococcosis	MGI:1345961	20.65
ORPHA:403	Familial Hyperaldosteronism Type I	MGI:109279	30.51
ORPHA:404	Familial Hyperaldosteronism Type Ii	MGI:109279	30.92
ORPHA:64	Alström Syndrome	MGI:1345961	12.25
ORPHA:2137	Autoimmune Hepatitis	MGI:1345961	39.97
ORPHA:251274	Familial Hyperaldosteronism Type Iii	MGI:109279	22.34
ORPHA:231183	Usher Syndrome Type 3	MGI:98266	25.64
ORPHA:231580	Primary Unilateral Adrenal Hyperplasia	MGI:109279	24.72
ORPHA:79480	Pemphigus Erythematosus	MGI:1345961	37.31
ORPHA:81	Antisynthetase Syndrome	MGI:1345961	30.9
ORPHA:818	Smith-Lemli-Opitz Syndrome	MGI:1928271	2.18
ORPHA:758	Pseudoxanthoma Elasticum	MGI:1351634	5.83
ORPHA:786	Generalized Glucocorticoid Resistance Syndrome	MGI:109279	32.77
ORPHA:79324	Alg12-Cdg	MGI:87868	3.72
ORPHA:309263	Metachromatic Leukodystrophy, Juvenile Form	MGI:1928271	8.25
ORPHA:309271	Metachromatic Leukodystrophy, Adult Form	MGI:1928271	8.44
ORPHA:31150	Tangier Disease	MGI:87868	12.26
ORPHA:90068	Cocaine Intoxication	MGI:1345961	8.58
ORPHA:90186	Meige Disease	MGI:1345961	19.15
ORPHA:90291	Systemic Sclerosis	MGI:1345961	34.73
ORPHA:443811	Pgm3-Cdg	MGI:1345961	24.97
ORPHA:69663	Low Phospholipid-Associated Cholelithiasis	MGI:1928271	42.6
ORPHA:69665	Intrahepatic Cholestasis Of Pregnancy	MGI:1928271	17.35
ORPHA:699	Pearson Syndrome	MGI:1345961	14
ORPHA:703	Bullous Pemphigoid	MGI:1345961	31.48
ORPHA:727	Microscopic Polyangiitis	MGI:1345961	30.19
ORPHA:35737	Morning Glory Disc Anomaly	MGI:98266	30.18
ORPHA:90654	Stickler Syndrome Type 2	MGI:98266	35.23
ORPHA:91139	Simple Cryoglobulinemia	MGI:1345961	21.34
ORPHA:91349	Non-Functioning Pituitary Adenoma	MGI:96090	24.56
ORPHA:91495	Persistent Hyperplastic Primary Vitreous	MGI:98266	26.56
ORPHA:99827	Crimean-Congo Hemorrhagic Fever	MGI:1928271	6.44
OMIM:246700	Chylomicron Retention Disease	MGI:87868	33.29
OMIM:233420	46, Xy Sex Reversal 7	MGI:3665157	50.7
OMIM:234700	Heart Block, Congenital	MGI:1351634	33.44
OMIM:136800	Corneal Dystrophy, Fuchs Endothelial, 1	MGI:98266	63.64
OMIM:147610	Iris Pigment Layer, Cleavage Of	MGI:98266	57.62
OMIM:217600	Central Cloudy Dystrophy Of Francois	MGI:98266	68.48
OMIM:219080	Acth-Independent Macronodular Adrenal Hyperplasia	MGI:109279	31.94
OMIM:224100	Anemia, Congenital Dyserythropoietic, Type Ii	MGI:1928271	36.56
OMIM:152700	Systemic Lupus Erythematosus	MGI:1345961	52.19
OMIM:154230	46, Xy Sex Reversal 4	MGI:3665157	21.42
OMIM:156850	Microphthalmia, Isolated, With Cataract 1	MGI:98266	44.35
OMIM:161200	Nail-Patella Syndrome	MGI:1345961	9.34
OMIM:235700	Anemia, Congenital, Nonspherocytic Hemolytic, 5	MGI:1928271	32.7
OMIM:244450	Kaufman Oculocerebrofacial Syndrome	MGI:87868	3.88
OMIM:203780	Alport Syndrome 2, Autosomal Recessive	MGI:98266	26.16
OMIM:110150	Blepharoptosis, Myopia, And Ectopia Lentis	MGI:98266	42.38
OMIM:120040	Cochleosaccular Degeneration With Progressive Cataracts	MGI:98266	76.82
OMIM:121900	Corneal Dystrophy, Groenouw Type I	MGI:98266	72.15
OMIM:125852	Type 1 Diabetes Mellitus 2	MGI:109279	64.66
OMIM:300622	Tn Polyagglutination Syndrome	MGI:1345961	51.33
OMIM:300755	Agammaglobulinemia, X-Linked	MGI:1345961	22.55
OMIM:300779	Corneal Dystrophy, Endothelial, X-Linked	MGI:98266	67.46
OMIM:300833	46, Xx Sex Reversal 3	MGI:3665157	100
OMIM:312500	Reticuloendotheliosis, X-Linked	MGI:1345961	42.05
OMIM:400044	46, Xy Sex Reversal 1	MGI:3665157	44.88
OMIM:400045	46, Xx Sex Reversal 1	MGI:3665157	41.51
OMIM:266200	Anemia, Congenital, Nonspherocytic Hemolytic, 2	MGI:1928271	27.04
OMIM:601666	Type 1 Diabetes Mellitus 15	MGI:109279	68.85
OMIM:601859	Autoimmune Lymphoproliferative Syndrome	MGI:1345961	47.82
OMIM:601941	Type 1 Diabetes Mellitus 6	MGI:109279	63.85
OMIM:601942	Type 1 Diabetes Mellitus 10	MGI:109279	63.85
OMIM:602247	Xanthomatosis, Susceptibility To	MGI:87868	58.07
OMIM:602361	Gracile Bone Dysplasia	MGI:1345961	17.09
OMIM:278850	46, Xx Sex Reversal 2	MGI:3665157	39.35
OMIM:300018	46, Xy Sex Reversal 2	MGI:3665157	100
OMIM:165300	Optic Atrophy 3, Autosomal Dominant	MGI:98266	30.12
OMIM:169610	Pemphigus Vulgaris, Familial	MGI:1345961	49.97
OMIM:604901	North American Indian Childhood Cirrhosis	MGI:1928271	55.85
OMIM:605479	Cholestasis, Benign Recurrent Intrahepatic, 2	MGI:1928271	41.26
ORPHA:254704	Genetic Hyperferritinemia Without Iron Overload	MGI:98266	48.63
ORPHA:293621	X-Linked Endothelial Corneal Dystrophy	MGI:98266	46.69
ORPHA:2968	Leukocyte Adhesion Deficiency	MGI:1345961	21.5
ORPHA:2253	Foveal Hypoplasia-Presenile Cataract Syndrome	MGI:98266	39.37
ORPHA:2826	Spastic Paraplegia-Precocious Puberty Syndrome	MGI:96090	45.96
ORPHA:289390	Primary Sjögren Syndrome	MGI:1345961	27.99
ORPHA:3261	Autoimmune Lymphoproliferative Syndrome	MGI:1345961	31.75
ORPHA:33111	Granulomatous Slack Skin	MGI:1345961	28.51
OMIM:614674	Periodic Fever, Menstrual Cycle-Dependent	MGI:109279	41.23
OMIM:614809	C3 Glomerulopathy 3	MGI:1345961	51.19
OMIM:613470	Anemia, Congenital, Nonspherocytic Hemolytic, 4	MGI:1928271	35.74
OMIM:612520	Type 1 Diabetes Mellitus 20	MGI:109279	64.66
