parameter_mapping,parameter_name,parameter_description,parameter_id,description
1398,39022,Blinding  - Immunophenotyping annotation,IMPC_EXD_035_001,"Blinding  - Immunophenotyping annotation blinding_immunophenotyping_annotation, "
1399,39023,Blinding  - Heart weight,IMPC_EXD_036_001,"Blinding  - Heart weight blinding_heart_weight, "
1400,39024,Blinding  - Open field,IMPC_EXD_037_001,"Blinding  - Open field blinding_open_field, "
1401,39025,Blinding  - Gross pathology collection,IMPC_EXD_038_001,"Blinding  - Gross pathology collection blinding_gross_pathology_collection, "
1402,39026,Blinding  - Gross pathology annotation,IMPC_EXD_039_001,"Blinding  - Gross pathology annotation blinding_gross_pathology_annotation, "
1403,39027,Blinding - ECG,IMPC_EXD_040_001,"Blinding - ECG blinding_ecg, "
1404,39028,Blinding  - Echo,IMPC_EXD_041_001,"Blinding  - Echo blinding_echo, "
1405,39029,Blinding  - Plethysmography,IMPC_EXD_042_001,"Blinding  - Plethysmography blinding_plethysmography, "
1406,39030,Blinding  - Adult Lac Z collection,IMPC_EXD_043_001,"Blinding  - Adult Lac Z collection blinding_adult_lac_z_collection, "
1407,39031,Blinding  - Adult Lac Z annotation,IMPC_EXD_044_001,"Blinding  - Adult Lac Z annotation blinding_adult_lac_z_annotation, "
1408,39032,Blinding  - Embryo Lac Z collection,IMPC_EXD_045_001,"Blinding  - Embryo Lac Z collection blinding_embryo_lac_z_collection, "
1409,39033,Blinding  - Embryo Lac Z annotation,IMPC_EXD_046_001,"Blinding  - Embryo Lac Z annotation blinding_embryo_lac_z_annotation, "
1410,39034,Instrumentation effects - Body weight,IMPC_EXD_047_001,"Instrumentation effects - Body weight instrumentation_effects_body_weight, "
1411,39035,Instrumentation effects - Heart weight,IMPC_EXD_048_001,"Instrumentation effects - Heart weight instrumentation_effects_heart_weight, "
1412,39036,Instrumentation effects - Grip strength,IMPC_EXD_049_001,"Instrumentation effects - Grip strength instrumentation_effects_grip_strength, "
1413,39037,Instrumentation effects - Acoustic startle,IMPC_EXD_050_001,"Instrumentation effects - Acoustic startle instrumentation_effects_acoustic_startle, "
1414,39038,Instrumentation effects - Calorimetry,IMPC_EXD_051_001,"Instrumentation effects - Calorimetry instrumentation_effects_calorimetry, "
1415,39039,Instrumentation effects - IPGTT,IMPC_EXD_052_001,"Instrumentation effects - IPGTT instrumentation_effects_ipgtt, "
1416,39040,Instrumentation effects - ABR,IMPC_EXD_053_001,"Instrumentation effects - ABR instrumentation_effects_abr, "
1417,39041,Instrumentation effects - DEXA,IMPC_EXD_054_001,"Instrumentation effects - DEXA instrumentation_effects_dexa, "
1418,39042,Instrumentation effects - Slit lamp,IMPC_EXD_055_001,"Instrumentation effects - Slit lamp instrumentation_effects_slit_lamp, "
1419,39043,Instrumentation effects - Ophthalmoscope,IMPC_EXD_056_001,"Instrumentation effects - Ophthalmoscope instrumentation_effects_ophthalmoscope, "
1420,39044,Instrumentation effects - Hematology,IMPC_EXD_057_001,"Instrumentation effects - Hematology instrumentation_effects_hematology, "
1421,39045,Instrumentation effects - Clinical chemistry,IMPC_EXD_058_001,"Instrumentation effects - Clinical chemistry instrumentation_effects_clinical_chemistry, "
1422,39046,Instrumentation effects - Immunophenotyping,IMPC_EXD_059_001,"Instrumentation effects - Immunophenotyping instrumentation_effects_immunophenotyping, "
1423,39047,Instrumentation effects - Open field,IMPC_EXD_060_001,"Instrumentation effects - Open field instrumentation_effects_open_field, "
1424,39048,Instrumentation effects - ECG,IMPC_EXD_061_001,"Instrumentation effects - ECG instrumentation_effects_ecg, "
1425,39049,Instrumentation effects - Echo,IMPC_EXD_062_001,"Instrumentation effects - Echo instrumentation_effects_echo, "
1426,39050,Instrumentation effects - Plethysmography,IMPC_EXD_063_001,"Instrumentation effects - Plethysmography instrumentation_effects_plethysmography, "
1427,39051,Instrumentation effects - Gross pathology,IMPC_EXD_064_001,"Instrumentation effects - Gross pathology instrumentation_effects_gross_pathology, "
1428,39052,Instrumentation effects - Insulin,IMPC_EXD_065_001,"Instrumentation effects - Insulin instrumentation_effects_insulin, "
1429,39053,Instrumentation effects - Embryo Lac Z,IMPC_EXD_066_001,"Instrumentation effects - Embryo Lac Z instrumentation_effects_embryo_lac_z, "
1430,39054,Instrumentation effects - Adult Lac Z,IMPC_EXD_067_001,"Instrumentation effects - Adult Lac Z instrumentation_effects_adult_lac_z, "
1431,39055,Instrumentation effects - X-ray,IMPC_EXD_068_001,"Instrumentation effects - X-ray instrumentation_effects_x_ray, "
1432,39056,Operator effects - Body weight,IMPC_EXD_069_001,"Operator effects - Body weight operator_effects_body_weight, "
1433,39057,Operator effects - Open field,IMPC_EXD_070_001,"Operator effects - Open field operator_effects_open_field, "
1434,39058,Operator effects - CSD,IMPC_EXD_071_001,"Operator effects - CSD operator_effects_csd, "
1435,39059,Operator effects - Grip strength,IMPC_EXD_072_001,"Operator effects - Grip strength operator_effects_grip_strength, "
1436,39060,Operator effects - Acoustic startle,IMPC_EXD_073_001,"Operator effects - Acoustic startle operator_effects_acoustic_startle, "
1437,39061,Operator effects - Calorimetry,IMPC_EXD_074_001,"Operator effects - Calorimetry operator_effects_calorimetry, "
1438,39062,Operator effects - IPGTT,IMPC_EXD_075_001,"Operator effects - IPGTT operator_effects_ipgtt, "
1439,39063,Operator effects - ABR collection,IMPC_EXD_076_001,"Operator effects - ABR collection operator_effects_abr_collection, "
1440,39064,Operator effects - ABR annotation,IMPC_EXD_077_001,"Operator effects - ABR annotation operator_effects_abr_annotation, "
1441,39065,Operator effects - DEXA,IMPC_EXD_078_001,"Operator effects - DEXA operator_effects_dexa, "
1442,39066,Operator effects - X-ray imaging,IMPC_EXD_079_001,"Operator effects - X-ray imaging operator_effects_x_ray_imaging, "
1443,39067,Operator effects - X-ray annotation,IMPC_EXD_080_001,"Operator effects - X-ray annotation operator_effects_x_ray_annotation, "
1444,39068,Operator effects - Slit lamp,IMPC_EXD_081_001,"Operator effects - Slit lamp operator_effects_slit_lamp, "
1445,39069,Operator effects - Ophthalmoscope,IMPC_EXD_082_001,"Operator effects - Ophthalmoscope operator_effects_ophthalmoscope, "
1446,39070,Operator effects - Hematology,IMPC_EXD_083_001,"Operator effects - Hematology operator_effects_hematology, "
1447,39071,Operator effects - Clinical chemistry,IMPC_EXD_084_001,"Operator effects - Clinical chemistry operator_effects_clinical_chemistry, "
1448,39072,Operator effects - Immunophenotyping collection,IMPC_EXD_085_001,"Operator effects - Immunophenotyping collection operator_effects_immunophenotyping_collection, "
1449,39073,Operator effects - Immunophenotyping analysis,IMPC_EXD_086_001,"Operator effects - Immunophenotyping analysis operator_effects_immunophenotyping_analysis, "
1450,39074,Operator effects - Heart weight,IMPC_EXD_087_001,"Operator effects - Heart weight operator_effects_heart_weight, "
1451,39075,Operator effects - Gross pathology collection,IMPC_EXD_088_001,"Operator effects - Gross pathology collection operator_effects_gross_pathology_collection, "
1452,39076,Operator effects - Gross pathology annotation,IMPC_EXD_089_001,"Operator effects - Gross pathology annotation operator_effects_gross_pathology_annotation, "
1453,39077,Operator effects - ECG,IMPC_EXD_090_001,"Operator effects - ECG operator_effects_ecg, "
1454,39078,Operator effects - Echo,IMPC_EXD_091_001,"Operator effects - Echo operator_effects_echo, "
1455,39079,Operator effects - Plethysmography,IMPC_EXD_092_001,"Operator effects - Plethysmography operator_effects_plethysmography, "
1456,39080,Operator effects - Insulin,IMPC_EXD_093_001,"Operator effects - Insulin operator_effects_insulin, "
1457,39081,Operator effects - Embryo Lac Z collection,IMPC_EXD_094_001,"Operator effects - Embryo Lac Z collection operator_effects_embryo_lac_z_collection, "
1458,39082,Operator effects - Embryo Lac Z annotation,IMPC_EXD_095_001,"Operator effects - Embryo Lac Z annotation operator_effects_embryo_lac_z_annotation, "
1459,39083,Operator effects - Adult Lac Z collection,IMPC_EXD_096_001,"Operator effects - Adult Lac Z collection operator_effects_adult_lac_z_collection, "
1460,39084,Operator effects - Adult Lac Z annotation,IMPC_EXD_097_001,"Operator effects - Adult Lac Z annotation operator_effects_adult_lac_z_annotation, "
1461,39085,Time effects,IMPC_EXD_098_001,"Time effects time_effects, "
1462,39086,Order effects - Body weight,IMPC_EXD_099_001,"Order effects - Body weight order_effects_body_weight, "
1463,39087,Order effects - CSD,IMPC_EXD_100_001,"Order effects - CSD order_effects_csd, "
1464,39088,Order effects - Grip strength,IMPC_EXD_101_001,"Order effects - Grip strength order_effects_grip_strength, "
1465,39089,Order effects - Acoustic startle,IMPC_EXD_102_001,"Order effects - Acoustic startle order_effects_acoustic_startle, "
1466,39090,Order effects - Calorimetry,IMPC_EXD_103_001,"Order effects - Calorimetry order_effects_calorimetry, "
1467,39091,Order effects - IPGTT,IMPC_EXD_104_001,"Order effects - IPGTT order_effects_ipgtt, "
1468,39092,Order effects - ABR collection,IMPC_EXD_105_001,"Order effects - ABR collection order_effects_abr_collection, "
1469,39093,Order effects - ABR annotation,IMPC_EXD_106_001,"Order effects - ABR annotation order_effects_abr_annotation, "
1470,39094,Order effects - DEXA,IMPC_EXD_107_001,"Order effects - DEXA order_effects_dexa, "
1471,39095,Order effects - X-ray imaging,IMPC_EXD_108_001,"Order effects - X-ray imaging order_effects_x_ray_imaging, "
1472,39096,Order effects - X-ray annotation,IMPC_EXD_109_001,"Order effects - X-ray annotation order_effects_x_ray_annotation, "
1473,39097,Order effects - Slit lamp,IMPC_EXD_110_001,"Order effects - Slit lamp order_effects_slit_lamp, "
1474,39098,Order effects - Ophthalmoscope,IMPC_EXD_111_001,"Order effects - Ophthalmoscope order_effects_ophthalmoscope, "
1475,39099,Order effects - Hematology,IMPC_EXD_112_001,"Order effects - Hematology order_effects_hematology, "
1476,39100,Order effects - Clinical chemistry,IMPC_EXD_113_001,"Order effects - Clinical chemistry order_effects_clinical_chemistry, "
1477,39101,Order effects - Immunophenotyping,IMPC_EXD_114_001,"Order effects - Immunophenotyping order_effects_immunophenotyping, "
1478,39102,Order effects - Heart weight,IMPC_EXD_115_001,"Order effects - Heart weight order_effects_heart_weight, "
1479,39103,Order effects - Open field,IMPC_EXD_116_001,"Order effects - Open field order_effects_open_field, "
1480,39104,Order effects - Gross pathology collection,IMPC_EXD_117_001,"Order effects - Gross pathology collection order_effects_gross_pathology_collection, "
1481,39105,Order effects - Gross pathology annotation,IMPC_EXD_118_001,"Order effects - Gross pathology annotation order_effects_gross_pathology_annotation, "
1482,39106,Order effects - ECG,IMPC_EXD_119_001,"Order effects - ECG order_effects_ecg, "
1483,39107,Order effects - Echo,IMPC_EXD_120_001,"Order effects - Echo order_effects_echo, "
1484,39108,Order effects - Plethysmography,IMPC_EXD_121_001,"Order effects - Plethysmography order_effects_plethysmography, "
1485,39109,Order effects - Insulin,IMPC_EXD_122_001,"Order effects - Insulin order_effects_insulin, "
1486,39110,Order effects - Embryo Lac Z,IMPC_EXD_123_001,"Order effects - Embryo Lac Z order_effects_embryo_lac_z, "
1487,39111,Order effects - Adult Lac Z,IMPC_EXD_124_001,"Order effects - Adult Lac Z order_effects_adult_lac_z, "
1488,39112,Subject selection - ABR,IMPC_EXD_125_001,"Subject selection - ABR subject_selection_abr, "
1489,39113,Subject selection - Gross pathology,IMPC_EXD_126_001,"Subject selection - Gross pathology subject_selection_gross_pathology, "
1490,66104,Gene category,IMPC_VIA_034_001,"Gene category Type of gene inheritance pattern, "
1491,66105,Male parents genotype,IMPC_VIA_035_001,"Male parents genotype Genotype of male parent(s), "
1492,66106,Female parents genotype,IMPC_VIA_036_001,"Female parents genotype Genotype of female parent(s), "
1493,66107,Litter male parent specimen id,IMPC_VIA_037_001,"Litter male parent specimen id ID of male parent of litter, "
1494,66108,Litter female parent 1 specimen id,IMPC_VIA_038_001,"Litter female parent 1 specimen id ID of female parent, "
1495,66109,Litter female parent 2 specimen id,IMPC_VIA_039_001,"Litter female parent 2 specimen id ID of optional second female parent for trio matings, "
1496,66110,Litter date of birth,IMPC_VIA_040_001,"Litter date of birth Date of birth of litter, "
1497,66111,Number of WT males,IMPC_VIA_041_001,"Number of WT males Number of wild-type males in litter, or total wild-type males if litter data is not available, "
1498,66112,Number of WT females,IMPC_VIA_042_001,"Number of WT females Number of wild-type females in litter, or total wild-type females if litter data is not available, "
1499,66113,Number of heterozygous males,IMPC_VIA_043_001,"Number of heterozygous males Number of heterozygous males in litter, or total heterozygous males if litter data is not available, "
1500,66114,Number of heterozygous females,IMPC_VIA_044_001,"Number of heterozygous females Number of heterozygous females in litter, or total heterozygous females if litter data is not available, "
1501,66115,Number of homozygous males,IMPC_VIA_045_001,"Number of homozygous males Number of homozygous males in litter, or total homozygous males if litter data is not available, "
1502,66116,Number of homozygous females,IMPC_VIA_046_001,"Number of homozygous females Number of homozygous females in litter, or total homozygousfe males if litter data is not available, "
1503,66117,Number of hemizygous males,IMPC_VIA_047_001,"Number of hemizygous males Number of hemizygous males in litter, or total hemizygous males if litter data is not available, "
1504,66118,Number of anzygous females,IMPC_VIA_048_001,"Number of anzygous females Number of anzygous (i.e. no copies of gene as it is Y-chromosome) females in litter, or total anzygous females if litter data is not available, "
1505,66119,Total WT males,IMPC_VIA_049_001,"Total WT males Total wild-type males, "
1506,66120,Total WT females,IMPC_VIA_050_001,"Total WT females Total wild-type females, "
1507,66121,Total heterozygous males,IMPC_VIA_051_001,"Total heterozygous males Total heterozygous males, "
1508,66122,Total heterozygous females,IMPC_VIA_052_001,"Total heterozygous females Total heterozygous females, "
1509,66123,Total homozygous males,IMPC_VIA_053_001,"Total homozygous males Total homozygous males, "
1510,66124,Total homozygous females,IMPC_VIA_054_001,"Total homozygous females Total homozygous males, "
1511,66125,Total of hemizygous males,IMPC_VIA_055_001,"Total of hemizygous males Total hemizygous males, "
1512,66126,Total anzygous females,IMPC_VIA_056_001,"Total anzygous females Total anzygous (i.e. no copies of gene as it is Y-chromosome) females, "
1513,66127,Total pups,IMPC_VIA_057_001,"Total pups Total pups, "
1514,66128,Total WTs,IMPC_VIA_058_001,"Total WTs Total wild-type pups, "
1515,66129,Total heterozygotes,IMPC_VIA_059_001,"Total heterozygotes Total heterozygous pups, "
1516,66130,Total homozygotes,IMPC_VIA_060_001,"Total homozygotes Total homozygous pups, "
1517,66131,Total males,IMPC_VIA_061_001,"Total males Total male pups, "
1518,66132,Total females,IMPC_VIA_062_001,"Total females Total female pups, "
1519,66133,Female age earliest start,IMPC_VIA_026_001,"Female age earliest start NA, "
1520,66134,Female age oldest end,IMPC_VIA_027_001,"Female age oldest end NA, "
1521,66135,Age of pups at genotype,IMPC_VIA_030_001,"Age of pups at genotype NA, "
1522,71972,Homozygous males viability,IMPC_VIA_063_001,"Homozygous males viability Outcome of viability assessment for homozygous males, "
1523,71973,Homozygous females viability,IMPC_VIA_064_001,"Homozygous females viability Outcome of viability assessment for homozygous females, "
1524,71974,Hemizygous males viability,IMPC_VIA_065_001,"Hemizygous males viability Outcome of viability assessment for hemizygous males, "
1525,71975,Heterozygous animals viability,IMPC_VIA_066_001,"Heterozygous animals viability Outcome of viability assessment for heterozygous animals, "
1526,71976,Homozygous animals viability,IMPC_VIA_067_001,"Homozygous animals viability Outcome of viability assessment for homozygous animals, "
1527,92576,Embryo Vignette,IMPC_VIA_068_001,"Embryo Vignette Poster style vignette to highlight the embryo development for a line, "
1528,47596,Number of signals,IMPC_ECG_001_001,"Number of signals , "
1529,47597,HR,IMPC_ECG_002_001,"HR NA, "
1530,47598,CV,IMPC_ECG_003_001,"CV , "
1531,47599,RR,IMPC_ECG_004_001,"RR , "
1532,47600,PQ,IMPC_ECG_005_001,"PQ , "
1533,47601,PR,IMPC_ECG_006_001,"PR , "
1534,47602,QRS,IMPC_ECG_007_001,"QRS , "
1535,47603,ST,IMPC_ECG_008_001,"ST , "
1536,47604,HRV,IMPC_ECG_010_001,"HRV , "
1537,47605,QTc Dispersion,IMPC_ECG_011_001,"QTc Dispersion , "
1538,47606,Mean SR amplitude,IMPC_ECG_012_001,"Mean SR amplitude NA, "
1539,47607,Mean R amplitude,IMPC_ECG_013_001,"Mean R amplitude NA, "
1540,47608,rMSSD,IMPC_ECG_014_001,"rMSSD , "
1541,47609,pNN5(6>ms),IMPC_ECG_015_001,"pNN5(6>ms) NA, "
1542,47610,Equipment ID,IMPC_ECG_016_001,"Equipment ID , "
1543,47611,Equipment Manufacturer,IMPC_ECG_017_001,"Equipment Manufacturer , "
1544,47612,Equipment Model,IMPC_ECG_018_001,"Equipment Model , "
1545,47613,Anesthetic,IMPC_ECG_019_001,"Anesthetic , "
1546,47614,Experimenter ID,IMPC_ECG_020_001,"Experimenter ID , "
1547,47615,Noise level,IMPC_ECG_021_001,"Noise level , "
1548,47616,Light level,IMPC_ECG_022_001,"Light level , "
1549,47617,Date equipment last calibrated,IMPC_ECG_023_001,"Date equipment last calibrated , "
1550,47618,QTc,IMPC_ECG_009_002,"QTc , "
1551,47619,Analysis Software,IMPC_ECG_024_001,"Analysis Software NA, "
1552,47620,Waveform Image,IMPC_ECG_025_001,"Waveform Image , "
1553,47621,Waveform Image Comment,IMPC_ECG_026_001,"Waveform Image Comment Free text comment on the waveform image. Use parameterAssociation of the image parameter to link to this text., "
1554,74751,Lead Configuration,IMPC_ECG_027_001,"Lead Configuration , "
1555,18988,Body weight,IMPC_DXA_001_001,"Body weight body_weight, "
1556,18989,Fat mass,IMPC_DXA_002_001,"Fat mass fat_mass, "
1557,18990,Lean mass,IMPC_DXA_003_001,"Lean mass lean_mass, "
1558,18991,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,"Bone Mineral Density (excluding skull) bone_mineral_density_excluding_skull_, "
1559,18992,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,"Bone Mineral Content (excluding skull) bone_mineral_content_excluding_skull_, "
1560,18993,Body length,IMPC_DXA_006_001,"Body length body_length, "
1561,18994,BMC/Body weight,IMPC_DXA_007_001,"BMC/Body weight bmc_body_weight, "
1562,18995,Lean/Body weight,IMPC_DXA_008_001,"Lean/Body weight lean_body_weight, "
1563,18996,Fat/Body weight,IMPC_DXA_009_001,"Fat/Body weight fat_body_weight, "
1564,18997,Bone Area,IMPC_DXA_010_001,"Bone Area bone_area_bmc_bmd_, "
1565,18998,Equipment ID,IMPC_DXA_011_001,"Equipment ID equipment_name, "
1566,18999,Equipment manufacturer,IMPC_DXA_012_001,"Equipment manufacturer equipment_manufactuer, "
1567,19000,Equipment model,IMPC_DXA_013_001,"Equipment model equipment_model, "
1568,19001,Mouse Status,IMPC_DXA_014_001,"Mouse Status mouse_status, "
1569,19002,Anesthesia,IMPC_DXA_015_001,"Anesthesia anesthesia, "
1570,19003,Experimenter ID,IMPC_DXA_016_001,"Experimenter ID , "
1571,19004,Date equipment last calibrated,IMPC_DXA_017_001,"Date equipment last calibrated , "
1572,19005,HAW,IMPC_DXA_018_001,"HAW NA, "
1573,30278,Sodium,IMPC_CBC_001_001,"Sodium sodium, "
1574,30279,Potassium,IMPC_CBC_002_001,"Potassium potassium, "
1575,30280,Chloride,IMPC_CBC_003_001,"Chloride chloride, "
1576,30281,Urea (Blood Urea Nitrogen - BUN),IMPC_CBC_004_001,"Urea (Blood Urea Nitrogen - BUN) urea, "
1577,30282,Creatinine,IMPC_CBC_005_001,"Creatinine creatinine_enzymatic_method_preferred_, "
1578,30283,Total protein,IMPC_CBC_006_001,"Total protein total_protein, "
1579,30284,Albumin,IMPC_CBC_007_001,"Albumin albumin, "
1580,30285,Total bilirubin,IMPC_CBC_008_001,"Total bilirubin total_bilirubin, "
1581,30286,Calcium,IMPC_CBC_009_001,"Calcium calcium, "
1582,30287,Phosphorus,IMPC_CBC_010_001,"Phosphorus phosphate, "
1583,30288,Iron,IMPC_CBC_011_001,"Iron iron, "
1584,30289,Aspartate aminotransferase,IMPC_CBC_012_001,"Aspartate aminotransferase aspartate_aminotransferase, "
1585,30290,Alanine aminotransferase,IMPC_CBC_013_001,"Alanine aminotransferase alanine_aminotransferase, "
1586,30291,Alkaline phosphatase,IMPC_CBC_014_001,"Alkaline phosphatase alkaline_phosphatase, "
1587,30292,Total cholesterol,IMPC_CBC_015_001,"Total cholesterol total_cholesterol, "
1588,30293,HDL-cholesterol,IMPC_CBC_016_001,"HDL-cholesterol hdl_cholesterol, "
1589,30294,Triglycerides,IMPC_CBC_017_001,"Triglycerides triglycerides, "
1590,30295,Glucose,IMPC_CBC_018_001,"Glucose glucose, "
1591,30296,LIH (Hemolysis Severity - available on AU analysers),IMPC_CBC_019_001,"LIH (Hemolysis Severity - available on AU analysers) lih_hemolysis_severity_available_on_au_analysers_, "
1592,30297,Fructosamine,IMPC_CBC_020_001,"Fructosamine fructosamine, "
1593,30298,Lipase,IMPC_CBC_021_001,"Lipase lipase, "
1594,30299,Lactate dehydrogenase,IMPC_CBC_022_001,"Lactate dehydrogenase lactate_dehydrogenase, "
1595,30300,Alpha-amylase,IMPC_CBC_023_001,"Alpha-amylase alpha_amylase, "
1596,30301,UIBC (unsaturated iron binding capacity),IMPC_CBC_024_001,"UIBC (unsaturated iron binding capacity) uibc_unsaturated_iron_binding_capacity_, "
1597,30302,LDL-cholesterol,IMPC_CBC_025_001,"LDL-cholesterol ldl_cholesterol, "
1598,30303,Free fatty acids,IMPC_CBC_026_001,"Free fatty acids free_fatty_acids, "
1599,30304,Glycerol,IMPC_CBC_027_001,"Glycerol glycerol, "
1600,30305,Creatine kinase,IMPC_CBC_028_001,"Creatine kinase creatine_kinase, "
1601,30306,Uric acid,IMPC_CBC_029_001,"Uric acid uric_acid, "
1602,30307,Ferritin,IMPC_CBC_030_001,"Ferritin ferritin, "
1603,30308,Transferrin,IMPC_CBC_031_001,"Transferrin transferrin, "
1604,30309,C-reactive protein,IMPC_CBC_032_001,"C-reactive protein c_reactive_protein, "
1605,30310,Equipment ID,IMPC_CBC_033_001,"Equipment ID equipment_name, "
1606,30311,Equipment manufacturer,IMPC_CBC_034_001,"Equipment manufacturer equipment_manufacturer, "
1607,30312,Equipment model,IMPC_CBC_035_001,"Equipment model equipment_model, "
1608,30313,Anesthesia used for blood collection,IMPC_CBC_036_001,"Anesthesia used for blood collection anesthesia_used_for_blood_collection, "
1609,30314,Method of blood collection,IMPC_CBC_037_001,"Method of blood collection method_of_blood_collection, "
1610,30315,Anticoagulant,IMPC_CBC_038_001,"Anticoagulant anticoagulant, "
1611,30316,Samples kept on ice between collection and analysis,IMPC_CBC_042_001,"Samples kept on ice between collection and analysis samples_kept_on_ice_between_collection_and_analysis, "
1612,30317,Sample status,IMPC_CBC_043_001,"Sample status sample_status, "
1613,30318,Sample dilution,IMPC_CBC_044_001,"Sample dilution plasma_dilution, "
1614,30319,ID of blood collection SOP,IMPC_CBC_045_001,"ID of blood collection SOP id_of_blood_collection_sop, "
1615,30320,Date and time of blood collection,IMPC_CBC_046_001,"Date and time of blood collection date_and_time_of_blood_collection, "
1616,30321,Hemolysis status,IMPC_CBC_048_001,"Hemolysis status hemolysis_status, "
1617,30322,Blood collection experimenter ID,IMPC_CBC_049_001,"Blood collection experimenter ID , "
1618,30323,Date equipment last calibrated,IMPC_CBC_050_001,"Date equipment last calibrated , "
1619,30324,Blood collection tubes,IMPC_CBC_039_001,"Blood collection tubes , "
1620,30325,Date and time of sacrifice,IMPC_CBC_040_001,"Date and time of sacrifice , "
1621,30326,Storage temperature from blood collection till measurement,IMPC_CBC_041_001,"Storage temperature from blood collection till measurement , "
1622,30327,Blood analysis experimenter ID,IMPC_CBC_051_001,"Blood analysis experimenter ID , "
1623,30328,Glycosilated hemoglobin A1c (HbA1c),IMPC_CBC_052_001,"Glycosilated hemoglobin A1c (HbA1c) , "
1624,30329,Thyroxine,IMPC_CBC_053_001,"Thyroxine , "
1625,30330,Magnesium,IMPC_CBC_054_001,"Magnesium NA, "
1626,30331,Difficult bleed,IMPC_CBC_055_001,"Difficult bleed , "
1627,47813,Body weight,IMPC_OWT_001_001,"Body weight body_weight, "
1628,47814,Spleen weight,IMPC_OWT_002_001,"Spleen weight spleen_weight, "
1629,47815,Left kidney weight,IMPC_OWT_003_001,"Left kidney weight left_kidney_weight, "
1630,47816,Right kidney weight,IMPC_OWT_004_001,"Right kidney weight right_kidney_weight, "
1631,47817,Epididymis weight,IMPC_OWT_005_001,"Epididymis weight epididymis_weight, "
1632,47819,Seminal vesicle weight,IMPC_OWT_007_001,"Seminal vesicle weight seminal_vesicle_weight, "
1633,47820,Spleen weight to body weight ratio,IMPC_OWT_008_001,"Spleen weight to body weight ratio spleen_weight_to_body_weight_ratio, "
1634,47821,Left kidney weight to body weight ratio,IMPC_OWT_009_001,"Left kidney weight to body weight ratio left_kidney_weight_to_body_weight_ratio, "
1635,47822,Right kidney weight to body weight ratio,IMPC_OWT_010_001,"Right kidney weight to body weight ratio right_kidney_weight_to_body_weight_ratio, "
1636,47824,Epididymis weight to body weight ratio,IMPC_OWT_012_001,"Epididymis weight to body weight ratio epididymis_weight_to_body_weight_ratio, "
1637,47825,Seminal vesicle weight to body weight ratio,IMPC_OWT_013_001,"Seminal vesicle weight to body weight ratio seminal_vesicle_weight_to_body_weight_ratio, "
1638,47826,Experimenter ID,IMPC_OWT_014_001,"Experimenter ID experimenter_id, "
1639,47827,Date of sacrifice,IMPC_OWT_015_001,"Date of sacrifice date_of_sacrifice, "
1640,47828,Method of sacrifice,IMPC_OWT_016_001,"Method of sacrifice method_of_sacrifice, "
1641,47829,Equipment ID,IMPC_OWT_017_001,"Equipment ID equipment_id, "
1642,47830,Date equipment last calibrated,IMPC_OWT_018_001,"Date equipment last calibrated date_equipment_last_calibrated, "
1643,47831,Equipment manufacturer,IMPC_OWT_019_001,"Equipment manufacturer equipment_manufacturer, "
1644,47832,Equipment model,IMPC_OWT_020_001,"Equipment model equipment_model, "
1645,73974,Left testis weight,IMPC_OWT_021_001,"Left testis weight left_testis_weight, "
1646,73975,Right testis weight,IMPC_OWT_022_001,"Right testis weight right_testis_weight, "
1647,73976,Whole liver weight,IMPC_OWT_023_001,"Whole liver weight whole_liver_weight, "
1648,73977,Right lung all lobes weight,IMPC_OWT_024_001,"Right lung all lobes weight right_lung_all_lobes_weight, "
1649,73978,Left lung weight,IMPC_OWT_025_001,"Left lung weight left_lung_weight, "
1650,73979,Left testis weight to body weight ratio,IMPC_OWT_026_001,"Left testis weight to body weight ratio left_testis_weight_to_body_weight_ratio, "
1651,73980,Right testis weight to body weight ratio,IMPC_OWT_027_001,"Right testis weight to body weight ratio right_testis_weight_to_body_weight_ratio, "
1652,73981,Whole liver weight to body weight ratio,IMPC_OWT_028_001,"Whole liver weight to body weight ratio whole_liver_weight_to_body_weight_ratio, "
1653,73982,Right lung all lobes weight to body weight ratio,IMPC_OWT_029_001,"Right lung all lobes weight to body weight ratio right_lung_all_lobes_weight_to_body_weight_ratio, "
1654,73983,Left lung weight to body weight ratio,IMPC_OWT_030_001,"Left lung weight to body weight ratio left_lung_weight_to_body_weight_ratio, "
1655,74113,Whole lung weight,IMPC_OWT_031_001,"Whole lung weight whole_lung_weight, "
1656,19236,Skull shape,IMPC_XRY_001_001,"Skull shape skull_shape, "
1657,19237,Zygomatic bone,IMPC_XRY_002_001,"Zygomatic bone zygomatic_bone, "
1658,19238,Maxilla/Pre-maxilla,IMPC_XRY_003_001,"Maxilla/Pre-maxilla maxilla, "
1659,19239,Mandibles,IMPC_XRY_004_001,"Mandibles mandibles, "
1660,19240,Teeth,IMPC_XRY_005_001,"Teeth teeth, "
1661,19241,Scapulae,IMPC_XRY_006_001,"Scapulae scapulae, "
1662,19242,Clavicle,IMPC_XRY_007_001,"Clavicle clavicle, "
1663,19243,Number of ribs right,IMPC_XRY_008_001,"Number of ribs right number_of_ribs_right, "
1664,19244,Number of ribs left,IMPC_XRY_009_001,"Number of ribs left number_of_ribs_left, "
