gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:2685195,Zbtb34,C57BL,E9.5,CCP_LDT_003_001,Time mobile light side,0.3447588
MGI:2384297,Map7d1,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.4528551
MGI:1098604,Rragd,C57BL,Early adult,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.214033
MGI:1925835,Jade1,C57BL,Early adult,IMPC_EYE_062_001,Right total retinal thickness,0.9749023
MGI:1927753,Inpp5e,C57BL,E15.5,MGP_IMM_009_001,Total Treg cells - % of CD4+,0.926252
MGI:1914454,Eif2s2,C57BL,E9.5,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.07227868
MGI:1890510,Atp6v0b,C57BL,Early adult,UCDIP_CSD_014_001,Coat - hair texture / appearance - back,0.1878189
MGI:2443564,Ambra1,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.8852809
MGI:2443925,Thsd7b,C57BL,Early adult,M-G-P_016_001_002,Red Blood Cell-count,0.6092145
MGI:2385213,Pdik1l,C59BL,Middle aged adult,UCD_OWT_003_001,Spleen weight,0.1923292
MGI:1931071,Sec61a2,C57BL,Early adult,IMPC_ECG_028_001,QT,0.3854255
MGI:1351315,Eloa,C57BL,E9.5,CCP_XRY_020_001,Processes on vertebrae,0.9696425
MGI:102844,Mybpc3,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.7633074
MGI:1339755,Csf3r,C57BL,Early adult,IMPC_CSD_040_002,Forepaw - size,0.07827212
MGI:2443925,Thsd7b,C57BL,Early adult,IMPC_EYE_008_001,Corneal opacity,0.674995
MGI:1346086,Aplnr,C57BL,Early adult,MGP_MLN_014_001,Resting CD8+ T cells - % of CD8+,0.3072632
MGI:109424,Abca4,C57BL,Early adult,IMPC_CBC_012_001,Aspartate aminotransferase,0.4194655
MGI:1339968,Cth,C57BL,Early adult,IMPC_XRY_012_001,Pelvis,0.1726491
MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.5246922
MGI:1927753,Inpp5e,C57BL,Early adult,MGP_MLN_003_001,Total CD4+ T cells - % of ab T cells,0.05752027
MGI:1350930,Srp9,C57BL,E12.5,JAX_OFD_021_001,Number of rears - total,0.5059387
MGI:1924265,Mpped2,C57BL,Early adult,IMPC_ECH_018_001,Respiration Rate,0.9974112
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_EYE_087_001,Right vitreous humor thickness,0.7621781
MGI:2444631,Bltp1,C57BL,E15.5,IMPC_GEP_022_001,Embryo Size,0.9924669
MGI:1098604,Rragd,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.673351
MGI:1924232,Vxn,C57BL,Early adult,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.8840702
MGI:1915643,Mogat1,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.845233
MGI:1278321,Epc2,C57BL,Early adult,IMPC_CSD_036_001,Startle response,0.5931636
MGI:2676312,Abca12,C57BL,Early adult,IMPC_CSD_028_001,Snout size,0.2030563
MGI:87879,Aco1,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.05876604
MGI:1918142,Ttll7,C57BL,Early adult,IMPC_GEL_058_001,Heart morphology,0.2557134
MGI:99218,Cdh4,C57BL,Early adult,MGP_IMM_079_001,KLRG1+ Treg cells - % of CD45+,0.07763008
MGI:104559,Rcn1,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.7701634
MGI:1914199,Trim59,C57BL,E18.5,IMPC_CBC_002_001,Potassium,0.9871648
MGI:1339755,Csf3r,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.3457996
MGI:98960,Wnt6,C57BL,E12.5,IMPC_HEM_003_001,Hemoglobin,0.796572
MGI:2444508,Fitm2,C57BL,E12.5,IMPC_HEM_019_001,Mean platelet volume,0.1453793
MGI:1913761,Chtop,C57BL,Early adult,IMPC_HEM_004_001,Hematocrit,0.5800781
MGI:1350930,Srp9,C57BL,E12.5,MGP_IMM_124_001,Monocytes - % of CD45+,0.1312832
MGI:1916428,Snx5,129SV,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.7474255
MGI:109424,Abca4,C57BL,Early adult,IMPC_GEO_065_001,Limb morphology,0.7525361
MGI:97850,Raly,C57BL,Early adult,IMPC_GEL_011_001,Embryo turning,0.3762628
MGI:2444989,Spg11,C58BL,Early adult,IMPC_CBC_020_001,Fructosamine,0.5559933
MGI:2442704,Frrs1l,C57BL,Early adult,ESLIM_015_001_011,Iron,0.1231638
MGI:1913761,Chtop,C57BL,Early adult,IMPC_ECG_003_001,CV,0.5038811
MGI:1917770,Glipr2,C57BL,Early adult,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.09105765
MGI:1921722,Stpg3,C57BL,Early adult,IMPC_GEL_060_001,Neural tube morphology,0.224469
MGI:109424,Abca4,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.6640131
MGI:2676312,Abca12,C57BL,E18.5,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.6667997
MGI:108429,Lpar1,C57BL,E12.5,IMPC_EYE_017_001,Lens Opacity,0.4455169
MGI:2676312,Abca12,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.3047644
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.8335299
MGI:2441837,Adgrb3,C57BL,Early adult,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.3667238
MGI:2139018,Olah,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.1260296
MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.2030792
MGI:1339968,Cth,C57BL,Early adult,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.4021878
MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_EYE_063_001,Right inner nuclear layer,0.4334905
MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_XRY_016_001,Number of pelvic vertebrae,0.05597686
MGI:2444391,Slc25a44,C57BL,Early adult,MGP_MLN_115_001,Plasmacytoid DC - % of CD45+,0.8937422
MGI:108429,Lpar1,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.1241576
MGI:2443100,Bend7,C57BL,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,0.6052987
MGI:1860511,Heyl,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.2169853
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_OWT_002_001,Spleen weight,0.9691668
MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_CAL_017_001,Respiratory Exchange Ratio,0.5811802
MGI:106925,Cldn11,C57BL,Early adult,IMPC_GEM_075_001,Delayed embryonic development,0.7536286
MGI:2681832,Cspp1,C57BL,Early adult,IMPC_GEM_068_001,Forebrain morphology,0.7450418
MGI:1914454,Eif2s2,C57BL,E9.5,IMPC_EYE_003_001,Eye Hemorrhage or Blood Presence,0.3837551
MGI:1350930,Srp9,C57BL,Early adult,IMPC_GEO_063_001,Craniofacial morphology,0.2213484
MGI:97383,Ntrk1,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.7727775
MGI:1913746,Ppdpf,C57BL,Early adult,IMPC_OFD_022_001,Percentage center time,0.9218185
MGI:3611450,Mettl21c,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.311152
MGI:3649135,Gm7694,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.3789638
MGI:1913692,Spc25,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.852854
MGI:1350930,Srp9,C57BL,E12.5,IMPC_OFD_022_001,Percentage center time,0.7218467
MGI:1916987,Ttl,C57BL,E15.5,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.7724963
MGI:1337072,Ier5,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.08598411
MGI:2384297,Map7d1,C57BL,E9.5,IMPC_CSD_007_001,Coat - color - abdomen,0.7430174
MGI:106637,Slc30a2,C57BL,Early adult,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.1556801
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.4669386
MGI:1922776,Eppin,C57BL,Early adult,IMPC_EYE_082_001,Iris transilumination,0.5866552
MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_XRY_063_001,Cervical processes,0.9457618
MGI:1341898,Nmur1,C57BL,Early adult,UCD_OWT_029_001,Body length,0.8377971
MGI:3611233,Tox2,C57BL,Early adult,ESLIM_011_001_002,PP1 startle magnitude,0.4955616
MGI:1914210,Mindy3,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.4117288
MGI:109424,Abca4,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.6324648
MGI:108429,Lpar1,C57BL,E18.5,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.1050325
MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_XRY_016_001,Number of pelvic vertebrae,0.510115
MGI:2384297,Map7d1,C57BL,E18.5,JAX_OFD_050_001,Percentage center movement time,0.2767293
MGI:97565,Pgm1,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.3621869
MGI:1339755,Csf3r,C57BL,Early adult,IMPC_CSD_037_001,Unexpected behaviors,0.3865084
MGI:1914542,Pigc,C57BL,Early adult,IMPC_CBC_010_001,Phosphorus,0.5591416
MGI:1922776,Eppin,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.09784774
MGI:2677271,Slc24a5,C57BL,Early adult,IMPC_CBC_018_001,Glucose,0.4778005
MGI:88015,Ampd1,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.4891701
MGI:101770,Bfsp1,C57BL,Early adult,IMPC_CSD_005_001,Coat - color - back,0.5600961
MGI:1350926,Etv3,C57BL,Early adult,IMPC_OFD_018_001,Latency to center entry,0.5293036
MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_GEP_026_001,Outer ear morpholgy,0.2604124
MGI:98960,Wnt6,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.6060393
MGI:1341898,Nmur1,C57BL,Early adult,MGP_IMM_016_001,Naive CD8+ T cells - % of CD8+,0.9678771
MGI:1916732,Nup35,C57BL,Early adult,ESLIM_011_001_004,PP3 startle magnitude,0.3779803
MGI:2140712,Phf24,C57BL,Early adult,JAX_OFD_013_001,Periphery average speed,0.9860035
MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.9667705
MGI:1919084,Zbtb43,C57BL,Early adult,IMPC_CBC_058_001,Cholesterol ratio,0.6818071
MGI:2443805,Bnc2,C57BL,Early adult,JAX_OFD_050_001,Percentage center movement time,0.2224677
MGI:97565,Pgm1,C57BL,Early adult,UCD_OWT_005_001,Right kidney,0.6698516
MGI:1914199,Trim59,C57BL,Early adult,ESLIM_011_001_001,BN startle magnitude,0.2812017
MGI:96429,Ifi204,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.3431865
MGI:1924467,Rspo4,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.7157993
MGI:1916413,Mrpl44,C57BL,E9.5,MGP_IMM_044_001,Marginal zone B cells - % of B2 cells,0.5288001
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_EYE_092_002,Retina (combined),0.3273048
MGI:1922776,Eppin,C57BL,Middle aged adult,IMPC_GEM_075_001,Delayed embryonic development,0.9593613
MGI:95975,Ifi44l,C57BL,Early adult,IMPC_HEM_029_001,Neutrophil differential count,0.8353743
MGI:1919471,Cimip1,C57BL,Early adult,IMPC_CSD_033_001,Gait,0.9523809
MGI:98397,Src,129SV,Early adult,ESLIM_008_001_002,Tremor,0.8496141
MGI:98397,Src,C57BL,Early adult,IMPC_GEL_058_001,Heart morphology,0.611915
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_CBC_014_001,Alkaline phosphatase,0.9487664
MGI:1332243,Ugcg,C57BL,Early adult,IMPC_HEM_003_001,Hemoglobin,0.1671918
MGI:2387617,Obp2a,C57BL,Early adult,CCP_XRY_031_001,Digit integrity,0.3352307
MGI:2444631,Bltp1,C57BL,Early adult,ESLIM_008_001_002,Tremor,0.2062661
MGI:1919051,Plekhf2,C57BL,Early adult,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.1057974
MGI:1309469,Casq2,C57BL,E12.5,JAX_OFD_012_001,Periphery permanence time,0.7178259
MGI:1915862,Ube2c,C57BL,E12.5,IMPC_GEL_060_001,Neural tube morphology,0.9918857
MGI:95281,Ect2,C57BL,Early adult,JAX_LDT_008_001,Percent time in dark,0.9273454
MGI:2139018,Olah,C57BL,Early adult,ESLIM_008_001_016,Trunk curl,0.9875992
MGI:106637,Slc30a2,C57BL,Early adult,ESLIM_016_001_004,Haematocrit,0.259157
MGI:102844,Mybpc3,C57BL,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.1184961
MGI:1913692,Spc25,C57BL,Early adult,IMPC_EYE_016_001,Lens,0.3871983
MGI:98397,Src,129SV,Early adult,IMPC_ECG_010_001,HRV,0.7450059
MGI:106925,Cldn11,C59BL,Middle aged adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.7419745
MGI:108429,Lpar1,C57BL,E18.5,MGP_IMM_073_001,Effector CD4+ T helper cells - % of CD45+,0.4278506
MGI:104708,Cct3,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.3955902
MGI:2385213,Pdik1l,C57BL,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.2557633
MGI:1095412,Unc5c,C57BL,Middle aged adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.6710721
MGI:98960,Wnt6,C57BL,E12.5,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.2978616
MGI:98386,Sptan1,C57BL,Early adult,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.1091708
MGI:1914454,Eif2s2,C57BL,E9.5,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.3668637
MGI:2441837,Adgrb3,C57BL,E18.5,IMPC_DXA_009_001,Fat/Body weight,0.7551811
MGI:1350930,Srp9,C57BL,E12.5,IMPC_OFD_007_001,Whole arena resting time,0.6399405
MGI:1343489,Mpdz,C57BL,Early adult,IMPC_XRY_063_001,Cervical processes,0.3324252
MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CBC_018_001,Glucose,0.922648
MGI:1201673,Shox2,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.2986692
MGI:1919369,Tpx2,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.5318481
MGI:1927241,Wdr12,C57BL,Early adult,JAX_OFD_016_001,Center permanence time,0.5617518
MGI:3617846,Ankrd34a,C57BL,Early adult,ESLIM_021_001_002,Total cholesterol,0.8602855
MGI:104708,Cct3,C57BL,E9.5,IMPC_XRY_012_001,Pelvis,0.09934878
MGI:106637,Slc30a2,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.4041358
MGI:1915862,Ube2c,C57BL,E12.5,CCP_XRY_019_001,Fusion of vertebrae,0.4911326
MGI:95777,Gnas,129SV,Early adult,IMPC_CBC_024_001,UIBC (unsaturated iron binding capacity),0.09774378
MGI:97565,Pgm1,C57BL,E12.5,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.6961656
MGI:2442704,Frrs1l,C57BL,Early adult,JAX_SLW_003_001,Sleep light phase percent,0.5872398
MGI:1914199,Trim59,C57BL,E18.5,IMPC_EYE_083_001,Vitreous,0.9568879
MGI:1914199,Trim59,C57BL,E18.5,IMPC_CBC_020_001,Fructosamine,0.4953155
MGI:1914199,Trim59,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.2776148
MGI:1913882,Dph6,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.9618179
MGI:1915599,Ndufs3,C57BL,Early adult,IMPC_CSD_016_001,Coat - hair texture / appearance - abdomen,0.5873653
MGI:1919369,Tpx2,C57BL,E9.5,M-G-P_025_001_005,Potassium,0.07177372
MGI:1916987,Ttl,C57BL,E15.5,M-G-P_025_001_001,Glucose,0.9058117
MGI:1916987,Ttl,C57BL,E15.5,IMPC_EYE_017_001,Lens Opacity,0.9511337
MGI:1914199,Trim59,C57BL,E12.5,M-G-P_026_001_010,Mouth morphology,0.7612675
MGI:109424,Abca4,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.3165534
MGI:95975,Ifi44l,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.4429591
MGI:3041190,Skint7,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.7745736
MGI:1919369,Tpx2,C57BL,Early adult,IMPC_XRY_033_001,Tibia length,0.4360342
MGI:1918142,Ttll7,C57BL,Early adult,M-G-P_016_001_002,Red Blood Cell-count,0.2040687
MGI:1916330,Gmppa,C57BL,Early adult,CCP_LDT_008_001,Percent time in light,0.6198329
MGI:106925,Cldn11,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.5005762
MGI:2443564,Ambra1,C57BL,E12.5,M-G-P_025_001_005,Potassium,0.6403495
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.5272446
MGI:108429,Lpar1,C57BL,Early adult,IMPC_GEM_070_001,Midbrain morphology,0.8071819
MGI:2385213,Pdik1l,C57BL,Middle aged adult,MGP_MLN_014_001,Resting CD8+ T cells - % of CD8+,0.1250658
MGI:1095412,Unc5c,C57BL,Late adult,ESLIM_005_001_005,Bone Mineral Content,0.4774274
MGI:98386,Sptan1,C57BL,E9.5,M-G-P_009_001_003,Body weight,0.4739256
MGI:2679260,Crb2,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.4197592
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.2049075
MGI:2685195,Zbtb34,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.6686079
MGI:104899,Mob4,C57BL,E9.5,MGP_MLN_078_001,Total gd T cells - % of CD45+,0.6939148
MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_HEM_037_001,Basophil cell count,0.1453685
MGI:106925,Cldn11,C57BL,Early adult,IMPC_OFD_013_001,Periphery average speed,3.558145e-05
MGI:2140361,Slc35d1,C57BL,Early adult,HMGULA_DYS_016_001,Coat - hair texture / appearance - abdomen,0.5801533
MGI:1919369,Tpx2,C57BL,E9.5,IMPC_CSD_040_002,Forepaw - size,0.6774134
MGI:1095412,Unc5c,C57BL,Late adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.1671303
MGI:1914199,Trim59,C57BL,E18.5,IMPC_EYE_088_001,Left vitreous humour thickness,0.1115217
MGI:2443564,Ambra1,C57BL,E9.5,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.9856168
MGI:2385213,Pdik1l,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.2235897
MGI:88015,Ampd1,C57BL,E15.5,IMPC_GEL_060_001,Neural tube morphology,0.5647817
MGI:1919300,Poglut2,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.7310959
MGI:1923676,Fam209,C57BL,Early adult,MGP_IMM_007_001,Resting CD4+ T helper cells - % of CD4+ T helper cells,0.8651882
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_XRY_016_001,Number of pelvic vertebrae,0.9369469
MGI:1350930,Srp9,C57BL,Early adult,IMPC_CBC_023_001,Alpha-amylase,0.8267538
MGI:2154090,Igsf8,C57BL,Early adult,IMPC_GEO_043_002,spina bifida,0.4474182
MGI:2442792,Cdh7,C57BL,Early adult,IMPC_XRY_012_001,Pelvis,0.7457306
MGI:1913746,Ppdpf,C57BL,Early adult,JAX_OFD_014_001,Center distance travelled,0.6238087
MGI:1922387,Rprd2,C57BL,E9.5,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.9223701
MGI:107171,Ppp3r2,C57BL,Early adult,IMPC_GEM_070_001,Midbrain morphology,0.5390696
MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_HEM_029_001,Neutrophil differential count,0.8691781
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_DXA_002_001,Fat mass,0.1166405
MGI:2444631,Bltp1,C57BL,E15.5,IMPC_CSD_007_001,Coat - color - abdomen,0.688659
MGI:102519,Cst3,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.2481734
MGI:1889549,Txnip,C57BL,Early adult,IMPC_OFD_007_001,Whole arena resting time,0.2524262
MGI:87867,Acadm,C57BL,Early adult,JAX_HBD_001_001,Total holepokes,0.2480771
MGI:1095412,Unc5c,C57BL,Early adult,MGP_IMM_011_001,Resting Treg cells - % of Treg,0.3992064
MGI:98960,Wnt6,C57BL,Early adult,M-G-P_025_001_001,Glucose,0.4198268
MGI:2139018,Olah,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.9988281
MGI:2679260,Crb2,C57BL,Early adult,IMPC_CBC_016_001,HDL-cholesterol,0.2906589
MGI:1914199,Trim59,C57BL,Early adult,JAX_LDT_008_001,Percent time in dark,0.1414669
MGI:1309469,Casq2,C57BL,E15.5,IMPC_HEM_032_001,Lymphocyte cell count,0.4327305
MGI:1915599,Ndufs3,C57BL,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.4941159
MGI:98960,Wnt6,C57BL,Early adult,M-G-P_025_001_001,Glucose,0.1175657
MGI:1921722,Stpg3,C50BL,Early adult,JAX_LDT_009_001,Percent time in light,0.7959031
MGI:1350926,Etv3,C52BL,Early adult,CCP_LDT_008_001,Percent time in light,0.1846097
MGI:106925,Cldn11,C57BL,Middle aged adult,JAX_OFD_012_001,Periphery permanence time,0.446024
MGI:2441837,Adgrb3,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.5830536
MGI:3588216,Ube2u,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.4772223
MGI:1914210,Mindy3,C57BL,Early adult,IMPC_CSD_033_001,Gait,0.4356596
MGI:1095412,Unc5c,C57BL,Early adult,IMPC_ECG_006_001,PR,0.5002963
MGI:101813,Coq3,C57BL,E9.5,IMPC_CBC_012_001,Aspartate aminotransferase,0.5925408
MGI:97850,Raly,C57BL,Early adult,IMPC_FEA_105_001,Difference in Context and Conditioning Baseline % Freezing,0.3353451
MGI:2685869,Dpy19l4,C57BL,Early adult,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.9629662
MGI:1916428,Snx5,C57BL,Early adult,UCDLA_EYE_083_001,Vitreous,0.1157714
MGI:102844,Mybpc3,C57BL,Early adult,ESLIM_020_001_002,Heart weight,2.129977e-10
MGI:1351315,Eloa,C57BL,Early adult,M-G-P_009_001_003,Body weight,0.5635794
MGI:3588202,Garin4,C57BL,Early adult,MGP_IMM_007_001,Resting CD4+ T helper cells - % of CD4+ T helper cells,0.9403885
MGI:97324,Nhlh2,C57BL,Early adult,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.3994714
MGI:2140592,Slc44a1,C57BL,Early adult,IMPC_DXA_003_001,Lean mass,0.4452287
MGI:106637,Slc30a2,C57BL,Early adult,IMPC_HWT_002_001,Tibia length,0.911078
MGI:97898,Ren1,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.9242312
MGI:2442177,Pced1a,C57BL,Early adult,CCP_LFO_001_001,Weight,0.9022464
MGI:1913420,Chchd5,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.5206074
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.7707044
MGI:2685260,Otol1,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.714824
MGI:97803,Ptma,C57BL,E12.5,JAX_OFD_022_001,Percentage center time,0.158321
MGI:1332243,Ugcg,C57BL,Early adult,JAX_PLC_004_001,Glucose,0.3048777
MGI:1922423,Tex38,C57BL,Early adult,IMPC_CAL_017_001,Respiratory Exchange Ratio,0.5098811
MGI:1201673,Shox2,C57BL,E9.5,IMPC_ABR_004_001,6kHz-evoked ABR Threshold,0.8957423
MGI:1916987,Ttl,C57BL,E12.5,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,0.9564172
MGI:2443925,Thsd7b,C57BL,Early adult,JAX_OFD_014_001,Center distance travelled,0.1843497
MGI:1351315,Eloa,C57BL,E9.5,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.8057939
MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_EYE_064_001,Right outer nuclear layer,0.2247854
MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.2860818
MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_GEP_026_001,Outer ear morpholgy,0.3930227
MGI:104708,Cct3,C57BL,E9.5,ESLIM_011_001_002,PP1 startle magnitude,0.6567732
MGI:97565,Pgm1,C57BL,E9.5,HRWL_OWT_001_001,Spleen weight,0.3064401
MGI:1913420,Chchd5,C57BL,Early adult,IMPC_CSD_033_001,Gait,0.1920391
MGI:1309469,Casq2,C57BL,E12.5,IMPC_HEM_019_001,Mean platelet volume,0.5259785
MGI:109424,Abca4,C57BL,Early adult,IMPC_CSD_005_001,Coat - color - back,0.8350714
MGI:2444508,Fitm2,C57BL,Early adult,IMPC_HEM_038_001,Basophil differential count,0.5363426
MGI:2387617,Obp2a,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.9892487
MGI:102844,Mybpc3,C57BL,Early adult,IMPC_HEM_003_001,Hemoglobin,0.4125754
MGI:1923953,Cpb1,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.7024822
MGI:1922423,Tex38,C57BL,Early adult,KMPCLA_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.7608204
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_CBC_002_001,Potassium,0.9003205
MGI:2140361,Slc35d1,C57BL,E18.5,ESLIM_016_001_007,Mean cell haemoglobin concentration,0.8757561
MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_HEM_019_001,Mean platelet volume,0.1063782
MGI:104899,Mob4,C57BL,Early adult,MGP_IMM_108_001,Marginal zone B cells - % of CD45+,0.1984933
MGI:108429,Lpar1,C57BL,E12.5,IMPC_CBC_003_001,Chloride,0.9294091
MGI:104793,Runx1t1,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.5643023
MGI:1931054,Slc43a3,C57BL,Early adult,JAX_SLW_013_001,Breath rate during sleep mean,0.3385767
MGI:97850,Raly,C57BL,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.4111109
MGI:1927580,Bloc1s6,C57BL,Early adult,MGP_IMM_079_001,KLRG1+ Treg cells - % of CD45+,0.5655698
MGI:3576049,Ugt1a2,C57BL,Early adult,MGP_IMM_083_001,Naive CD8+ T cells - % of CD45+,0.907521
MGI:1096385,Bcan,C57BL,Middle aged adult,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.2946006
MGI:1346342,Clca1,C57BL,Early adult,IMPC_GPO_002_001,Placenta Morphology,0.6192496
MGI:1927241,Wdr12,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.5470079
