"disease_id","disease_term"
"OMIM:136520","Foveal Hypoplasia 1"
"OMIM:217700","Corneal Endothelial Dystrophy"
"OMIM:236680","Hydrolethalus Syndrome 1"
"OMIM:237500","Dubin-Johnson Syndrome"
"OMIM:240950","Hypogonadism-Cataract Syndrome"
"OMIM:244450","Kaufman Oculocerebrofacial Syndrome"
"OMIM:201400","Acth Deficiency, Isolated"
"OMIM:202200","Glucocorticoid Deficiency 1"
"OMIM:121800","Schnyder Corneal Dystrophy"
"OMIM:131430","Eosinophilopenia"
"OMIM:304730","Dermoids Of Cornea"
"OMIM:300200","Adrenal Hypoplasia, Congenital"
"OMIM:300602","Clark-Baraitser syndrome"
"OMIM:180104","Retinitis Pigmentosa 9"
"OMIM:607398","Glucocorticoid Deficiency 2"
"ORPHA:263479","Fuchs Heterochromic Iridocyclitis"
"OMIM:210500","Biliary Atresia, Extrahepatic"
"OMIM:273395","Tetraamelia Syndrome 1"
"ORPHA:291","Congenital Varicella Syndrome"
"ORPHA:280","Wolf-Hirschhorn Syndrome"
"ORPHA:284180","Xp22.13P22.2 Duplication Syndrome"
"ORPHA:2869","Peutz-Jeghers Syndrome"
"OMIM:609197","Glucocorticoid Deficiency 3"
"OMIM:611465","Gallbladder Disease 4"
"OMIM:610092","Microphthalmia/Coloboma 3"
"OMIM:600803","Gallbladder Disease 1"
"OMIM:615184","Cardiomyopathy, Dilated, 1Ii"
"OMIM:614338","Pancreatic Lipase Deficiency"
"OMIM:613801","Retinitis Pigmentosa 40"
"OMIM:615512","Triosephosphate Isomerase Deficiency"
"OMIM:615558","Hypobetalipoproteinemia, Familial, 1"
"OMIM:615619","Cholangiocarcinoma, Susceptibility To"
"OMIM:617394","Sclerosing Cholangitis, Neonatal"
"OMIM:615935","Pancreatic Agenesis 2"
"OMIM:618156","Squalene Synthase Deficiency"
"OMIM:618220","Retinitis Pigmentosa 84"
"OMIM:616468","Exudative Vitreoretinopathy 6"
"OMIM:618463","Hypoalphalipoproteinemia, Primary, 2"
"OMIM:617825","Glucocorticoid Deficiency 5"
"OMIM:619016","Ifap Syndrome 2"
"ORPHA:1885","Isolated Ectopia Lentis"
"ORPHA:1193","Atkin-Flaitz Syndrome"
"ORPHA:1304","Brucellosis"
"ORPHA:131","Budd-Chiari Syndrome"
"ORPHA:1377","Cataract-Microcornea Syndrome"
"ORPHA:139474","17Q11.2 Microduplication Syndrome"
"ORPHA:100086","Gallbladder Neuroendocrine Tumor"
"ORPHA:562","Mccune-Albright Syndrome"
"ORPHA:570422","Galactose Mutarotase Deficiency"
"ORPHA:3449","Weill-Marchesani Syndrome"
"ORPHA:606","Proximal Myotonic Myopathy"
"ORPHA:2334","Autosomal Dominant Keratitis"
"ORPHA:95409","Acute Adrenal Insufficiency"
"ORPHA:8","47, Xyy Syndrome"
"ORPHA:776","Lujan-Fryns Syndrome"
"ORPHA:983","Testicular Regression Syndrome"
"ORPHA:320","Apparent Mineralocorticoid Excess"
"ORPHA:887","Vacterl/Vater Association"
"ORPHA:438274","Gcgr-Related Hyperglucagonemia"
"ORPHA:71","Chylomicron Retention Disease"
"ORPHA:361","Familial Glucocorticoid Deficiency"
"ORPHA:90363","Secondary Intestinal Lymphangiectasia"
"ORPHA:908","Fragile X Syndrome"
"ORPHA:91348","Functioning Gonadotropic Adenoma"
"ORPHA:99867","Thymoma"
"OMIM:231550","Achalasia-Addisonianism-Alacrima Syndrome"
"OMIM:233450","Goodpasture Syndrome"
"OMIM:140300","Hashimoto Thyroiditis"
"OMIM:146200","Hypoparathyroidism, Familial Isolated, 1"
"OMIM:147630","Insulinomatosis And Diabetes Mellitus"
"OMIM:225200","Ectopia Lentis Et Pupillae"
"OMIM:239900","Hypertrophic Neuropathy And Cataract"
"OMIM:201710","Lipoid Congenital Adrenal Hyperplasia"
"OMIM:103900","Hyperaldosteronism, Familial, Type I"
"OMIM:106220","Aniridia And Absent Patella"
"OMIM:107250","Anterior Segment Dysgenesis 1"
"OMIM:109100","Autoimmune Disease"
"OMIM:109720","Biliary Cirrhosis, Primary, 1"
"OMIM:115650","Cataract 32, Multiple Types"
"OMIM:115665","Cataract 8, Multiple Types"
"OMIM:115700","Cataract 4, Multiple Types"
"OMIM:116100","Cataract 20, Multiple Types"
"OMIM:116200","Cataract 1, Multiple Types"
"OMIM:116300","Cataract 30, Multiple Types"
"OMIM:116600","Cataract 6, Multiple Types"
"OMIM:116800","Cataract 5, Multiple Types"
"OMIM:185070","Stormorken Syndrome"
"OMIM:193230","Vitreoretinal Degeneration, Snowflake Type"
"OMIM:300752","Protoporphyria, Erythropoietic, X-Linked"
"OMIM:312910","Spastic Paraparesis And Deafness"
"OMIM:264800","Pseudoxanthoma Elasticum"
"OMIM:266510","Peroxisome Biogenesis Disorder 3B"
"OMIM:268100","Enhanced S-Cone Syndrome"
"OMIM:256450","Hyperinsulinemic Hypoglycemia, Familial, 1"
"OMIM:601371","Cataract, Age-Related Nuclear"
"OMIM:601547","Cataract 3, Multiple Types"
"OMIM:601820","Hyperinsulinemic Hypoglycemia, Familial, 2"
"OMIM:601885","Cataract 14, Multiple Types"
"OMIM:602485","Hyperinsulinemic Hypoglycemia, Familial, 3"
"OMIM:174770","Actinic Prurigo"
"OMIM:176410","Precocious Puberty, Male-Limited"
"OMIM:178900","Pupillary Membrane, Persistence Of"
"OMIM:604219","Cataract 9, Multiple Types"
"OMIM:604229","Anterior Segment Dysgenesis 5"
"OMIM:604307","Cataract 2, Multiple Types"
"OMIM:605387","Cataract 31, Multiple Types"
"OMIM:606762","Hyperinsulinemic Hypoglycemia, Familial, 6"
"ORPHA:2571","X-Linked Immunoneurologic Disorder"
"OMIM:209950","Immunodeficiency 27A"
"OMIM:212400","Cataract And Congenital Ichthyosis"
"OMIM:216820","Coloboma, Ocular, Autosomal Recessive"
"OMIM:269400","Anterior Segment Dysgenesis 7"
"OMIM:270150","Sjogren Syndrome"
"OMIM:270400","Smith-Lemli-Opitz Syndrome"
"OMIM:273680","Thanatophoric Dysplasia, Glasgow Variant"
"ORPHA:229717","Isolated Agammaglobulinemia"
"ORPHA:1656","Dermatitis Herpetiformis"
"ORPHA:171844","Blindness-Scoliosis-Arachnodactyly Syndrome"
"ORPHA:329918","C3 Glomerulopathy"
"OMIM:614662","Cortisone Reductase Deficiency 2"
"OMIM:614885","Peroxisome Biogenesis Disorder 11B"
"OMIM:613195","Weill-Marchesani Syndrome 4"
"OMIM:608367","Myopia 17, Autosomal Dominant"
"OMIM:609741","Cataract 22, Multiple Types"
"OMIM:611391","Cataract 33, Multiple Types"
"OMIM:611489","Corticosteroid-Binding Globulin Deficiency"
"OMIM:611544","Cataract 17, Multiple Types"
"OMIM:611597","Cataract 12, Multiple Types"
"OMIM:611881","Glycogen Storage Disease Xii"
"OMIM:612227","Diabetes Mellitus, Ketosis-Prone"
"OMIM:610021","Hyperinsulinemic Hypoglycemia, Familial, 7"
"OMIM:610202","Cataract 21, Multiple Types"
"OMIM:610256","Anterior Segment Dysgenesis 2"
"OMIM:610425","Cataract 23, Multiple Types"
"OMIM:610623","Cataract 11, Multiple Types"
"OMIM:600881","Cataract 10, Multiple Types"
"OMIM:615188","Cataract 39, Multiple Types"
"OMIM:615274","Cataract 15, Multiple Types"
"OMIM:615387","Immunodeficiency 7"
"OMIM:614186","Leber Congenital Amaurosis 16"
"OMIM:614284","Stickler Syndrome, Type V"
"OMIM:614377","Nephronophthisis 13"
"OMIM:613677","Hyperaldosteronism, Familial, Type Iii"
"OMIM:613763","Cataract 16, Multiple Types"
"OMIM:613791","Masp2 Deficiency"
"OMIM:613826","Leber Congenital Amaurosis 6"
"OMIM:613829","Leber Congenital Amaurosis 7"
"OMIM:617315","Anterior Segment Dysgenesis 6"
"OMIM:617319","Anterior Segment Dysgenesis 8"
"OMIM:617053","Mirage Syndrome"
"OMIM:617251","Uncombable Hair Syndrome 2"
"OMIM:615816","Immunodeficiency 23"
"OMIM:615995","Bardet-Biedl Syndrome 18"
"ORPHA:163","Hereditary Hyperferritinemia-Cataract Syndrome"
"ORPHA:199296","Congenital Isolated Acth Deficiency"
"ORPHA:2035","Lymphatic Filariasis"
"ORPHA:206572","Overlap Myositis"
"ORPHA:1068","Aniridia-Intellectual Disability Syndrome"
"ORPHA:1069","Aniridia-Absent Patella Syndrome"
"ORPHA:117","Behçet Disease"
"ORPHA:1303","Bronchiolitis Obliterans"
"ORPHA:1380","Cataract-Nephropathy-Encephalopathy Syndrome"
"ORPHA:1397","Hydrocephaly-Cerebellar Agenesis Syndrome"
"OMIM:619649","Chromosome 16Q12 Duplication Syndrome"
"OMIM:619781","Myopia 28, Autosomal Recessive"
"ORPHA:556030","Early-Onset Familial Hypoaldosteronism"
"ORPHA:556037","Late-Onset Familial Hypoaldosteronism"
"ORPHA:449395","Igg4-Related Kidney Disease"
"ORPHA:47612","Felty Syndrome"
"ORPHA:482","Kimura Disease"
"ORPHA:48435","Postinfectious Vasculitis"
"ORPHA:3453","Autoimmune Polyendocrinopathy Type 1"
"ORPHA:37202","Interstitial Cystitis"
"ORPHA:39041","Omenn Syndrome"
"ORPHA:400","Cystic Echinococcosis"
"ORPHA:403","Familial Hyperaldosteronism Type I"
"ORPHA:404","Familial Hyperaldosteronism Type Ii"
"ORPHA:64","Alström Syndrome"
"ORPHA:2137","Autoimmune Hepatitis"
"ORPHA:251274","Familial Hyperaldosteronism Type Iii"
"ORPHA:231580","Primary Unilateral Adrenal Hyperplasia"
"ORPHA:79480","Pemphigus Erythematosus"
"ORPHA:81","Antisynthetase Syndrome"
"ORPHA:818","Smith-Lemli-Opitz Syndrome"
"ORPHA:758","Pseudoxanthoma Elasticum"
"ORPHA:786","Generalized Glucocorticoid Resistance Syndrome"
"ORPHA:309263","Metachromatic Leukodystrophy, Juvenile Form"
"ORPHA:309271","Metachromatic Leukodystrophy, Adult Form"
"ORPHA:90068","Cocaine Intoxication"
"ORPHA:90186","Meige Disease"
"ORPHA:90291","Systemic Sclerosis"
"ORPHA:443811","Pgm3-Cdg"
"ORPHA:69663","Low Phospholipid-Associated Cholelithiasis"
"ORPHA:69665","Intrahepatic Cholestasis Of Pregnancy"
"ORPHA:699","Pearson Syndrome"
"ORPHA:703","Bullous Pemphigoid"
"ORPHA:727","Microscopic Polyangiitis"
"ORPHA:35737","Morning Glory Disc Anomaly"
"ORPHA:90654","Stickler Syndrome Type 2"
"ORPHA:91139","Simple Cryoglobulinemia"
"ORPHA:91349","Non-Functioning Pituitary Adenoma"
"ORPHA:91495","Persistent Hyperplastic Primary Vitreous"
"ORPHA:99827","Crimean-Congo Hemorrhagic Fever"
"OMIM:233420","46, Xy Sex Reversal 7"
"OMIM:234700","Heart Block, Congenital"
"OMIM:136800","Corneal Dystrophy, Fuchs Endothelial, 1"
"OMIM:147610","Iris Pigment Layer, Cleavage Of"
"OMIM:217600","Central Cloudy Dystrophy Of Francois"
"OMIM:219080","Acth-Independent Macronodular Adrenal Hyperplasia"
"OMIM:224100","Anemia, Congenital Dyserythropoietic, Type Ii"
"OMIM:152700","Systemic Lupus Erythematosus"
"OMIM:154230","46, Xy Sex Reversal 4"
"OMIM:156850","Microphthalmia, Isolated, With Cataract 1"
"OMIM:161200","Nail-Patella Syndrome"
"OMIM:235700","Anemia, Congenital, Nonspherocytic Hemolytic, 5"
"OMIM:203780","Alport Syndrome 2, Autosomal Recessive"
"OMIM:110150","Blepharoptosis, Myopia, And Ectopia Lentis"
"OMIM:120040","Cochleosaccular Degeneration With Progressive Cataracts"
"OMIM:121900","Corneal Dystrophy, Groenouw Type I"
"OMIM:125852","Type 1 Diabetes Mellitus 2"
"OMIM:300622","Tn Polyagglutination Syndrome"
"OMIM:300755","Agammaglobulinemia, X-Linked"
"OMIM:300779","Corneal Dystrophy, Endothelial, X-Linked"
"OMIM:300833","46, Xx Sex Reversal 3"
"OMIM:312500","Reticuloendotheliosis, X-Linked"
"OMIM:400044","46, Xy Sex Reversal 1"
"OMIM:400045","46, Xx Sex Reversal 1"
"OMIM:266200","Anemia, Congenital, Nonspherocytic Hemolytic, 2"
"OMIM:601666","Type 1 Diabetes Mellitus 15"
"OMIM:601859","Autoimmune Lymphoproliferative Syndrome"
"OMIM:601941","Type 1 Diabetes Mellitus 6"
"OMIM:601942","Type 1 Diabetes Mellitus 10"
"OMIM:602247","Xanthomatosis, Susceptibility To"
"OMIM:602361","Gracile Bone Dysplasia"
"OMIM:278850","46, Xx Sex Reversal 2"
"OMIM:300018","46, Xy Sex Reversal 2"
"OMIM:165300","Optic Atrophy 3, Autosomal Dominant"
"OMIM:169610","Pemphigus Vulgaris, Familial"
"OMIM:604901","North American Indian Childhood Cirrhosis"
"OMIM:605479","Cholestasis, Benign Recurrent Intrahepatic, 2"
"ORPHA:254704","Genetic Hyperferritinemia Without Iron Overload"
"ORPHA:293621","X-Linked Endothelial Corneal Dystrophy"
"ORPHA:2968","Leukocyte Adhesion Deficiency"
"ORPHA:2253","Foveal Hypoplasia-Presenile Cataract Syndrome"
"ORPHA:2826","Spastic Paraplegia-Precocious Puberty Syndrome"
"ORPHA:289390","Primary Sjögren Syndrome"
"ORPHA:3261","Autoimmune Lymphoproliferative Syndrome"
"ORPHA:33111","Granulomatous Slack Skin"
"OMIM:614674","Periodic Fever, Menstrual Cycle-Dependent"
"OMIM:614809","C3 Glomerulopathy 3"
"OMIM:613470","Anemia, Congenital, Nonspherocytic Hemolytic, 4"
"OMIM:612520","Type 1 Diabetes Mellitus 20"
"OMIM:612965","46, Xy Sex Reversal 3"
"OMIM:613011","Lymphoproliferative Syndrome 1"
"OMIM:613080","46, Xy Sex Reversal 5"
"OMIM:613086","Glaucoma 3, Primary Congenital, D"
"OMIM:609140","Corneal Dystrophy, Posterior Polymorphous, 2"
"OMIM:610374","Diabetes Mellitus, Transient Neonatal, 2"
"OMIM:610600","Corticosterone Methyloxidase Type Ii Deficiency"
"OMIM:600886","Hyperferritinemia With Or Without Cataract"
"OMIM:600955","Proprotein Convertase 1/3 Deficiency"
"OMIM:601186","Microphthalmia, Syndromic 9"
"OMIM:614279","46, Xy Sex Reversal 8"
"OMIM:613652","C1Q Deficiency 1"
"OMIM:613762","46, Xy Sex Reversal 6"
"OMIM:615523","Corneal Dystrophy, Fuchs Endothelial, 8"
"OMIM:617133","Spinocerebellar Ataxia, Autosomal Recessive 24"
"OMIM:616067","46, Xy Sex Reversal 9"
"OMIM:616425","46, Xy Sex Reversal 10"
"OMIM:618835","Combined Oxidative Phosphorylation Deficiency 40"
"OMIM:618838","Combined Oxidative Phosphorylation Deficiency 41"
"OMIM:618839","Combined Oxidative Phosphorylation Deficiency 42"
"OMIM:618660","Anemia, Congenital, Nonspherocytic Hemolytic, 10"
"ORPHA:158061","Macrophage Activation Syndrome"
"ORPHA:199299","Late-Onset Isolated Acth Deficiency"
"OMIM:619849","Cholestasis, Progressive Familial Intrahepatic, 9"
"OMIM:619858","Autoinflammatory-Pancytopenia Syndrome"
"ORPHA:54370","Primary Membranoproliferative Glomerulonephritis"
"ORPHA:56425","Cold Agglutinin Disease"
"ORPHA:46488","Linear Iga Dermatosis"
"ORPHA:470","Lysinuric Protein Intolerance"
"ORPHA:48377","Subcorneal Pustular Dermatosis"
"ORPHA:52901","Isolated Follicle Stimulating Hormone Deficiency"
"ORPHA:536","Systemic Lupus Erythematosus"
"ORPHA:34145","Immunoglobulin A Nephropathy"
"ORPHA:79506","Cholesterol-Ester Transfer Protein Deficiency"
"ORPHA:79087","Acquired Partial Lipodystrophy"
"ORPHA:98827","Unclassified Myelodysplastic Syndrome"
"ORPHA:309256","Metachromatic Leukodystrophy, Late Infantile Form"
"ORPHA:90060","Diffuse Alveolar Hemorrhage"
"ORPHA:90283","Lupus Erythematosus Tumidus"
"ORPHA:411593","Insulin Autoimmune Syndrome"
"ORPHA:35664","Aldh18A1-Related De Barsy Syndrome"
"ORPHA:90674","Isolated Thyroid-Stimulating Hormone Deficiency"
"ORPHA:93126","Pauci-Immune Glomerulonephritis"
"ORPHA:99931","Idiopathic Pulmonary Hemosiderosis"
"OMIM:221900","Persistent Hyperplastic Primary Vitreous, Autosomal Recessive"
"OMIM:222100","Type 1 Diabetes Mellitus"
"OMIM:225100","Ectopia Lentis 2, Isolated, Autosomal Recessive"
"OMIM:240500","Immunodeficiency, Common Variable, 2"
"OMIM:106230","Aniridia, Microcornea, And Spontaneously Reabsorbed Cataract"
"OMIM:116700","Cataract 13 With Adult I Phenotype"
"OMIM:121390","Cornea Guttata With Anterior Polar Cataracts"
"OMIM:305800","Membranoproliferative Glomerulonephritis, X-Linked"
"OMIM:256020","Focal Segmental Glomerulosclerosis 10"
"OMIM:300062","Intellectual Developmental Disorder, X-Linked 14"
"OMIM:300143","Intellectual Developmental Disorder, X-Linked 21"
"OMIM:300428","Intellectual Developmental Disorder, X-Linked 2"
"OMIM:177850","Pseudoxanthoma Elasticum, Forme Fruste"
"OMIM:217000","Complement Component 2 Deficiency"
"OMIM:619338","Cataracts, Spastic Paraparesis, And Speech Delay"
"ORPHA:3000","Familial Peripheral Male-Limited Precocious Puberty"
"ORPHA:227982","Autoimmune Polyendocrinopathy Type 3"
"ORPHA:227990","Autoimmune Polyendocrinopathy Type 4"
"OMIM:614878","Autoinflammation, Antibody Deficiency, And Immune Dysregulation"
"OMIM:613179","Purine Nucleoside Phosphorylase Deficiency"
"OMIM:613496","Immunodeficiency, Common Variable, 6"
"OMIM:607765","Bile Acid Synthesis Defect, Congenital, 1"
"OMIM:608776","Congenital Disorder Of Glycosylation, Type Il"
"OMIM:609529","Immunoglobulin A Deficiency 2"
"OMIM:610475","Pigmented Nodular Adrenocortical Disease, Primary, 2"
"OMIM:610489","Pigmented Nodular Adrenocortical Disease, Primary, 1"
"OMIM:610947","Coronary Artery Disease, Autosomal Dominant 2"
"OMIM:610984","Complement Factor I Deficiency"
"OMIM:615008","Nephrotic Syndrome, Type 7"
"OMIM:615401","Immunodeficiency 8 With Lymphoproliferation"
"OMIM:614190","Pigmented Nodular Adrenocortical Disease, Primary, 3"
"OMIM:614196","Nephrotic Syndrome, Type 6"
"OMIM:614380","Complement Component 4A Deficiency"
"OMIM:614420","Systemic Lupus Erythematosus 16"
"OMIM:613783","Complement Component C1S Deficiency"
"OMIM:617609","Nephrotic Syndrome, Type 15"
"OMIM:616730","Nephrotic Syndrome, Type 11"
"OMIM:616834","Microcephaly, Congenital Cataract, And Psoriasiform Dermatitis"
"OMIM:616892","Nephrotic Syndrome, Type 12"
"OMIM:615830","Pigmented Nodular Adrenocortical Disease, Primary, 4"
"OMIM:615861","Nephrotic Syndrome, Type 10"
"OMIM:615954","Acth-Independent Macronodular Adrenal Hyperplasia 2"
"OMIM:616005","Immunodeficiency 36 With Lymphoproliferation"
"OMIM:618874","Chromosome 17Q11.2 Duplication Syndrome, 1.4-Mb"
"OMIM:618348","Galloway-Mowat Syndrome 7"
"OMIM:618534","Immunodeficiency 64 With Lymphoproliferation"
"OMIM:617783","Nephrotic Syndrome, Type 16"
"OMIM:619126","Immunodeficiency 75 With Lymphoproliferation"
"OMIM:619201","Nephrotic Syndrome, Type 23"
"ORPHA:1830","Schimke Immuno-Osseous Dysplasia"
"ORPHA:100026","Gamma-Heavy Chain Disease"
"OMIM:619644","Immunodeficiency 91 And Hyperinflammation"
"OMIM:619813","Neutropenia, Severe Congenital, 9, Autosomal Dominant"
"OMIM:620058","Familial Apolipoprotein Gene Cluster Deletion Syndrome"
"OMIM:620253","Cataract 50 With Or Without Glaucoma"
"OMIM:620312","Leukoencephalopathy With Vanishing White Matter 2"
"ORPHA:49041","Igg4-Related Retroperitoneal Fibrosis"
"ORPHA:523","Hereditary Leiomyomatosis And Renal Cell Cancer"
"ORPHA:33577","Nodular Non-Suppurative Panniculitis"
"ORPHA:340","Hemorrhagic Fever-Renal Syndrome"
"ORPHA:397596","Activated Pi3K-Delta Syndrome"
"ORPHA:401830","Autosomal Recessive Spastic Paraplegia Type 69"
"ORPHA:60026","Pulmonary Nodular Lymphoid Hyperplasia"
"ORPHA:2310","Absence Deformity Of Leg-Cataract Syndrome"
"ORPHA:809","Mixed Connective Tissue Disease"
"ORPHA:96180","Maternal Uniparental Disomy Of Chromosome 4"
"ORPHA:96181","Maternal Uniparental Disomy Of Chromosome 6"
"ORPHA:79281","Alpha-N-Acetylgalactosaminidase Deficiency Type 3"
"ORPHA:85286","X-Linked Intellectual Disability, Shashi Type"
"ORPHA:90002","Undifferentiated Connective Tissue Syndrome"
"ORPHA:36234","Bacterial Toxic-Shock Syndrome"
"ORPHA:369929","Primary Hyperaldosteronism-Seizures-Neurological Abnormalities Syndrome"
"ORPHA:98908","Neutral Lipid Storage Disease With Myopathy"
"OMIM:104200","Alport Syndrome 3A, Autosomal Dominant"
"OMIM:300706","Mental retardation, x-linked, syndromic, Turner type"
"OMIM:300719","Deafness, Cataract, Retinitis Pigmentosa, And Sperm Abnormalities"
"OMIM:300886","Intellectual Developmental Disorder, X-Linked, Syndromic 32"
"OMIM:264120","Prolactin Deficiency With Obesity And Enlarged Testes"
"OMIM:601794","Coloboma-Obesity-Hypogenitalism-Impaired Intellectual Development Syndrome"
"OMIM:300055","Intellectual Developmental Disorder, X-Linked, Syndromic 13"
"OMIM:603909","Autoimmune Lymphoproliferative Syndrome, Type Iia"
"OMIM:216950","Complement Component C1R/C1S Deficiency"
"ORPHA:2278","Ichthyosis-Intellectual Disability-Dwarfism-Renal Impairment Syndrome"
"ORPHA:325345","46, Xy Ovotesticular Difference Of Sex Development"
"OMIM:612840","Leukocyte Adhesion Deficiency, Type Iii"
"OMIM:608709","Lipodystrophy, Partial, Acquired, Susceptibility To"
"OMIM:614292","Myopia, High, With Cataract And Vitreoretinal Degeneration"
"OMIM:614470","Ras-Associated Autoimmune Leukoproliferative Disorder"
"OMIM:615559","Autoimmune Lymphoproliferative Syndrome, Type Iii"
"OMIM:618912","Neuronopathy, Distal Hereditary Motor, Autosomal Recessive 8"
"OMIM:618999","Autoinflammation, Immune Dysregulation, And Eosinophilia"
"OMIM:619183","Proteasome-Associated Autoinflammatory Syndrome 4"
"ORPHA:1067","Aniridia-Ptosis-Intellectual Disability-Familial Obesity Syndrome"
"ORPHA:1366","Autosomal Recessive Palmoplantar Keratoderma And Congenital Alopecia"
"ORPHA:1369","Congenital Cataract-Hypertrophic Cardiomyopathy-Mitochondrial Myopathy Syndrome"
"ORPHA:1373","Cataract-Aberrant Oral Frenula-Growth Delay Syndrome"
"OMIM:619950","Tessadori-Bicknell-Van Haaften Neurodevelopmental Syndrome 3"
"ORPHA:567548","Idiopathic Steroid-Resistant Nephrotic Syndrome"
"ORPHA:449432","Igg4-Related Submandibular Gland Disease"
"ORPHA:51608","Generalized Arterial Calcification Of Infancy"
"ORPHA:375","Anti-Glomerular Basement Membrane Disease"
"ORPHA:393","46, Xx Testicular Difference Of Sex Development"
"ORPHA:656","Genetic Steroid-Resistant Nephrotic Syndrome"
"ORPHA:2172","Microcephaly-Glomerulonephritis-Marfanoid Habitus Syndrome"
"ORPHA:79302","Congenital Bile Acid Synthesis Defect Type 3"
"ORPHA:85320","X-Linked Intellectual Disability-Macrocephaly-Macroorchidism Syndrome"
"ORPHA:85327","X-Linked Intellectual Disability-Acromegaly-Hyperactivity Syndrome"
"ORPHA:85414","Systemic-Onset Juvenile Idiopathic Arthritis"
"ORPHA:89844","Lissencephaly Syndrome, Norman-Roberts Type"
"ORPHA:90033","Autoimmune Hemolytic Anemia, Warm Type"
"ORPHA:90036","Mixed-Type Autoimmune Hemolytic Anemia"
"ORPHA:99889","Cushing Syndrome Due To Ectopic Acth Secretion"
"OMIM:137940","Hypotrichosis-Lymphedema-Telangiectasia-Renal Defect Syndrome"
"OMIM:162000","Tubulointerstitial Kidney Disease, Autosomal Dominant, 1"
"OMIM:201910","Adrenal Hyperplasia, Congenital, Due To 21-Hydroxylase Deficiency"
"OMIM:120790","Complement Component 4, Partial Deficiency Of"
"OMIM:125851","Maturity-Onset Diabetes Of The Young, Type 2"
"OMIM:301078","Immunodeficiency 98 With Autoinflammation, X-Linked"
"OMIM:304790","Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked"
"OMIM:301006","Galloway-Mowat Syndrome 2, X-Linked"
"OMIM:254000","Muscular Dystrophy, Congenital, With Infantile Cataract And Hypogonadism"
"OMIM:300238","Intellectual Developmental Disorder, X-Linked, Syndromic, Shashi Type"
"OMIM:606392","Maturity-Onset Diabetes Of The Young, Type 4"
"OMIM:606394","Maturity-Onset Diabetes Of The Young, Type 6"
"ORPHA:293978","Deficiency In Anterior Pituitary Function-Variable Immunodeficiency Syndrome"
"ORPHA:26792","Short Chain Acyl-Coa Dehydrogenase Deficiency"
"OMIM:614736","Glucocorticoid Deficiency 4 With Or Without Mineralocorticoid Deficiency"
"OMIM:613370","Maturity-Onset Diabetes Of The Young, Type 10"
"OMIM:613571","Disordered Steroidogenesis Due To Cytochrome P450 Oxidoreductase Deficiency"
"OMIM:608184","Immunodeficiency With Hyper-Igm, Type 4"
"OMIM:609939","Systemic Lupus Erythematosus, Susceptibility To, 6"
"OMIM:610508","Maturity-Onset Diabetes Of The Young, Type 7"
"OMIM:610539","Gaucher Disease, Atypical, Due To Saposin C Deficiency"
"OMIM:600496","Maturity-Onset Diabetes Of The Young, Type 3"
"OMIM:615412","Cortical Dysplasia, Complex, With Other Brain Malformations 4"
"OMIM:614473","Arterial Calcification, Generalized, Of Infancy, 2"
"OMIM:613779","Complement Component 3 Deficiency, Autosomal Recessive"
"OMIM:617006","Autoimmune Disease, Multisystem, Infantile-Onset, 2"
"OMIM:615952","Autoimmune Disease, Multisystem, Infantile-Onset, 1"
"OMIM:616511","Maturity-Onset Diabetes Of The Young, Type 14"
"OMIM:618852","Autoinflammation With Episodic Fever And Lymphadenopathy"
"OMIM:618935","Granulomatous Disease, Chronic, Autosomal Recessive, 5"
"OMIM:618398","T-Cell Lymphoma, Subcutaneous Panniculitis-Like"
"OMIM:618495","Immunodeficiency 63 With Lymphoproliferation And Autoimmunity"
"ORPHA:1473","Uveal Coloboma-Cleft Lip And Palate-Intellectual Disability"
"ORPHA:183675","Recurrent Infections Associated With Rare Immunoglobulin Isotypes Deficiency"
"ORPHA:189427","Cushing Syndrome Due To Bilateral Macronodular Adrenocortical Disease"
"ORPHA:1381","Cataract-Intellectual Disability-Anal Atresia-Urinary Defects Syndrome"
"OMIM:620425","Cataracts, Hearing Impairment, Nephrotic Syndrome, And Enterocolitis 2"
"OMIM:620565","Immunodeficiency 113 With Autoimmunity And Autoinflammation"
"OMIM:619525","Congenital Disorder Of Glycosylation, Type Iiw"
"ORPHA:567544","Idiopathic Non-Lupus Full-House Nephropathy"
"ORPHA:251004","Paternal Uniparental Disomy Of Chromosome 1"
"ORPHA:73245","Spinal Muscular Atrophy-Dandy-Walker Malformation-Cataracts Syndrome"
"ORPHA:90790","Congenital Lipoid Adrenal Hyperplasia Due To Star Deficency"
"ORPHA:911","Combined Immunodeficiency Due To Zap70 Deficiency"
"OMIM:201470","Acyl-Coa Dehydrogenase, Short-Chain, Deficiency Of"
"OMIM:202110","Adrenal Hyperplasia, Congenital, Due To 17-Alpha-Hydroxylase Deficiency"
"OMIM:183800","Split-Hand With Congenital Nystagmus, Fundal Changes, And Cataracts"
"OMIM:307500","Hypogonadism, Male, With Impaired Intellectual Development And Skeletal Anomalies"
"OMIM:309520","Intellectual Developmental Disorder, X-Linked, Syndromic, Lujan-Fryns Type"
"OMIM:310468","Nephrolithiasis, X-Linked Recessive, With Renal Failure"
"OMIM:212500","Cataract 46, Juvenile-Onset, With Or Without Arrhythmic Cardiomyopathy"
"OMIM:212550","Optic Disc Anomalies With Retinal And/Or Macular Dystrophy"
